LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
46a8b7,-37,-44,22138195,2020-07-13 17:12:44.220645,22,-89.1
22052d,-5,-46,31153488,2020-07-13 17:12:45.121776,15,-60.3
22052d,-9,-45,194865040,2020-07-13 17:13:01.496628,21,-63.9
22052d,-14,-45,208708804,2020-07-13 17:13:02.879383,3,-61.2
22052d,-7,-45,226645177,2020-07-13 17:13:04.675789,21,-62.1
22052d,-15,-44,231288404,2020-07-13 17:13:05.141040,10,-69.3
22052d,-10,-37,235208410,2020-07-13 17:13:05.532025,14,-64.8
22052d,-11,-44,311524964,2020-07-13 17:13:13.160695,11,-65.7
22052d,-12,-46,326304082,2020-07-13 17:13:14.639582,10,-66.6
22052d,-4,-46,349973781,2020-07-13 17:13:17.008480,2,-59.4
22052d,-7,-42,376702998,2020-07-13 17:13:19.681502,13,-62.1
06a420,-40,-45,427790396,2020-07-13 17:13:24.787015,1,-91.8
6bff63,-35,-46,519137870,2020-07-13 17:13:33.924323,29,-87.3
22052d,-7,-46,578300886,2020-07-13 17:13:39.843356,25,-62.1
22052d,-12,-37,610775958,2020-07-13 17:13:43.091251,10,-66.6
