LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-7,-45,60459654,2020-07-13 17:04:20.040592,13,-44.1
22052d,-5,-45,84022020,2020-07-13 17:04:22.398869,5,-47.7
214ac6,-33,-47,202568502,2020-07-13 17:04:34.251116,76,-55.8
160e73,-32,-39,231347272,2020-07-13 17:04:37.129999,10,-84.6
22052d,14,-44,231427272,2020-07-13 17:04:37.139909,10,-43.2
22052d,9,-45,340812160,2020-07-13 17:04:48.074470,9,-47.7
d8baad,-40,-45,386053199,2020-07-13 17:04:52.599054,70,-89.1
47b364,-33,-45,416658135,2020-07-13 17:04:55.661297,53,-85.5
47b364,-31,-46,434189141,2020-07-13 17:04:57.413435,39,-83.7
22052d,-13,-45,490353610,2020-07-13 17:05:03.023486,16,-44.1
