LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
263bb4,-38,-41,89996215,2020-07-13 17:01:28.179344,58,-80.1
22052d,-5,-15,115998218,2020-07-13 17:01:30.781984,5,-60.3
214ac6,-28,-45,118281777,2020-07-13 17:01:31.010728,39,-81.0
22052d,-5,-45,230431731,2020-07-13 17:01:42.224796,25,-60.3
b9557c,-28,-46,273348278,2020-07-13 17:01:46.516454,52,-81.0
22052d,-19,-45,311311238,2020-07-13 17:01:50.314595,11,-66.6
22052d,-2,-46,383530192,2020-07-13 17:01:57.535512,4,-57.6
22052d,-7,-46,396397692,2020-07-13 17:01:58.820273,1,-58.5
6173a0,-41,-47,412208403,2020-07-13 17:02:00.403533,17,-91.8
