LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-30,-45,13281531,2020-07-13 17:01:20.513191,29,-81.9
22052d,21,-22,25359969,2020-07-13 17:01:21.721659,41,-36.9
22052d,22,-44,29094848,2020-07-13 17:01:22.091913,13,-36.0
22052d,-12,-44,29114841,2020-07-13 17:01:22.094452,13,-36.0
b8a8b8,-30,-46,47243889,2020-07-13 17:01:23.905553,63,-82.8
369322,-30,-45,47781134,2020-07-13 17:01:23.961548,16,-82.8
22052d,-7,-44,51853415,2020-07-13 17:01:24.370797,20,-38.7
b8a8b8,-28,-45,61419344,2020-07-13 17:01:25.328056,77,-81.0
22052d,-31,-46,111483075,2020-07-13 17:01:30.327820,48,-83.7
b8a8b8,-31,-45,114784849,2020-07-13 17:01:30.664076,67,-83.7
22052d,22,-24,136983891,2020-07-13 17:01:32.882583,42,-36.0
22052d,20,-44,138882085,2020-07-13 17:01:33.073084,44,-37.8
22052d,-11,-44,143563422,2020-07-13 17:01:33.539965,1,-38.7
214ac6,-25,-41,149414605,2020-07-13 17:01:34.123965,7,-78.3
22052d,-14,-41,152501088,2020-07-13 17:01:34.436484,26,-34.2
22052d,23,-45,153219769,2020-07-13 17:01:34.508243,11,-35.1
b8a8b8,-28,-46,169584285,2020-07-13 17:01:36.141349,27,-73.8
b8a8b8,-28,-45,171422642,2020-07-13 17:01:36.327719,29,-81.0
b8a8b8,-28,-45,171695997,2020-07-13 17:01:36.357354,61,-81.0
22052d,19,-52,176361995,2020-07-13 17:01:36.820226,18,-36.9
b8a8b8,-30,-45,185708078,2020-07-13 17:01:37.754856,75,-82.8
b8a8b8,-29,-46,186073286,2020-07-13 17:01:37.791353,28,-81.9
22052d,20,-44,216845060,2020-07-13 17:01:40.869121,43,-37.8
22052d,-11,-44,225463154,2020-07-13 17:01:41.731746,4,-36.9
22052d,-11,-45,233838288,2020-07-13 17:01:42.570373,44,-65.7
22052d,-28,-45,234436744,2020-07-13 17:01:42.629646,29,-37.8
22052d,23,-38,243343822,2020-07-13 17:01:43.518755,22,-35.1
b8a8b8,-30,-46,247573281,2020-07-13 17:01:43.941756,26,-82.8
22052d,-8,-45,261487788,2020-07-13 17:01:45.332531,40,-36.9
22052d,22,-45,262030405,2020-07-13 17:01:45.388401,25,-36.0
22052d,-16,-30,266175383,2020-07-13 17:01:45.802513,29,-36.9
22052d,19,-48,275861195,2020-07-13 17:01:46.768265,7,-36.9
22052d,-10,-45,282037414,2020-07-13 17:01:47.388277,45,-38.7
b8a8b8,-33,-46,289399558,2020-07-13 17:01:48.127020,68,-85.5
22052d,20,-58,293961212,2020-07-13 17:01:48.580547,25,-36.0
b8a8b8,-28,-44,310473525,2020-07-13 17:01:50.231780,26,-81.0
22052d,-21,-45,310785635,2020-07-13 17:01:50.263787,26,-74.7
22052d,21,-44,322341844,2020-07-13 17:01:51.421918,6,-36.9
b8a8b8,-30,-46,331798881,2020-07-13 17:01:52.361925,63,-82.8
22052d,-24,-43,344362268,2020-07-13 17:01:53.621429,28,-36.0
22052d,23,-43,365992905,2020-07-13 17:01:55.784814,18,-35.1
b8a8b8,-29,-46,375562305,2020-07-13 17:01:56.741693,75,-81.9
b8a8b8,-28,-45,375799438,2020-07-13 17:01:56.766335,28,-81.0
22052d,-11,-46,376662087,2020-07-13 17:01:56.853447,13,-36.9
22052d,-12,-45,391962275,2020-07-13 17:01:58.379323,44,-37.8
b8a8b8,-30,-46,392375655,2020-07-13 17:01:58.422457,76,-82.8
b8a8b8,-30,-44,400785240,2020-07-13 17:01:59.264194,37,-82.8
b8a8b8,-28,-45,426236580,2020-07-13 17:02:01.801584,31,-81.0
22052d,-9,-45,426822822,2020-07-13 17:02:01.861330,16,-36.0
b8a8b8,-26,-44,443025222,2020-07-13 17:02:03.485225,32,-79.2
22052d,23,-44,451893100,2020-07-13 17:02:04.373225,25,-35.1
b8a8b8,-28,-44,470474829,2020-07-13 17:02:06.234107,28,-69.3
22052d,21,-42,478030581,2020-07-13 17:02:06.986236,4,-36.9
22052d,22,-46,478390661,2020-07-13 17:02:07.025366,4,-36.0
22052d,-9,-45,484173771,2020-07-13 17:02:07.602733,10,-40.5
b8a8b8,-25,-36,488876358,2020-07-13 17:02:08.069114,78,-78.3
b8a8b8,-31,-46,495400492,2020-07-13 17:02:08.724868,37,-81.9
b8a8b8,-29,-45,521001448,2020-07-13 17:02:11.282875,31,-81.9
369322,-29,-45,534811958,2020-07-13 17:02:12.665265,45,-78.3
b8a8b8,-31,-46,550082833,2020-07-13 17:02:14.193759,76,-83.7
22052d,21,-43,564079188,2020-07-13 17:02:15.590768,11,-36.9
b8a8b8,-28,-44,565438839,2020-07-13 17:02:15.729152,28,-81.0
22052d,-15,-46,581248158,2020-07-13 17:02:17.310655,44,-36.9
b8a8b8,-29,-45,581977429,2020-07-13 17:02:17.384150,76,-81.9
b8a8b8,-27,-46,582374684,2020-07-13 17:02:17.424273,29,-80.1
b8a8b8,-29,-44,582475876,2020-07-13 17:02:17.436287,61,-80.1
22052d,21,3,603617072,2020-07-13 17:02:19.547434,19,-36.9
22052d,-8,-45,616760571,2020-07-13 17:02:20.856669,16,-38.7
