LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
0829ce,-40,-45,8964310,2020-07-13 16:54:53.793697,72,-91.8
214ac6,-26,-46,57048672,2020-07-13 16:54:58.604582,41,-79.2
22052d,-16,-39,88299028,2020-07-13 16:55:01.729093,9,-40.5
47b364,-28,-45,92737481,2020-07-13 16:55:02.174090,45,-79.2
22052d,8,-45,104690878,2020-07-13 16:55:03.370841,57,-48.6
22052d,-20,-42,124136459,2020-07-13 16:55:05.314984,45,-51.3
c2fcae,-40,-47,262048106,2020-07-13 16:55:19.102132,25,-91.8
22052d,9,-36,299016546,2020-07-13 16:55:22.801641,46,-47.7
22052d,16,-44,372190111,2020-07-13 16:55:30.120282,56,-41.4
ac7eae,-41,-46,396871520,2020-07-13 16:55:32.586913,65,-90.0
47b364,-26,-44,445117562,2020-07-13 16:55:37.412552,34,-79.2
22052d,20,-45,467575438,2020-07-13 16:55:39.657926,9,-37.8
22052d,17,-45,509763523,2020-07-13 16:55:43.876442,4,-40.5
47b364,-26,-39,512716684,2020-07-13 16:55:44.170066,70,-70.2
d91ef0,-35,-45,546824966,2020-07-13 16:55:47.581077,57,-87.3
22052d,17,-44,549509381,2020-07-13 16:55:47.853821,12,-40.5
22052d,-20,-44,608530299,2020-07-13 16:55:53.752467,8,-39.6
93d178,-41,-46,620579194,2020-07-13 16:55:54.959592,20,-91.8
