LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
8985d1,-42,-46,35685529,2020-07-13 17:07:57.750551,4,-82.8
47b364,-26,-40,67936279,2020-07-13 17:08:00.977185,36,-53.1
47b364,-26,-45,78773644,2020-07-13 17:08:02.056939,31,-79.2
60f3e1,-38,-40,99508474,2020-07-13 17:08:04.128943,36,-64.8
a9d20d,-20,-42,101005882,2020-07-13 17:08:04.280942,6,-73.8
a9d20d,-24,-40,106968644,2020-07-13 17:08:04.878569,12,-77.4
4fee33,-41,-46,162850521,2020-07-13 17:08:10.467711,68,-91.8
22052d,8,-42,180249456,2020-07-13 17:08:12.206223,22,-48.6
1bf15a,-24,-44,182585683,2020-07-13 17:08:12.440961,56,-77.4
47b364,-27,-45,194338125,2020-07-13 17:08:13.615211,36,-55.8
1bf15a,-27,-45,219090570,2020-07-13 17:08:16.090093,45,-80.1
22052d,5,1,222625728,2020-07-13 17:08:16.444219,17,-51.3
47b364,-28,-45,262738580,2020-07-13 17:08:20.455371,57,-78.3
22052d,-9,-44,297692658,2020-07-13 17:08:23.950738,29,-43.2
22052d,-13,-44,342868281,2020-07-13 17:08:28.469493,11,-53.1
47b364,-26,-44,357576835,2020-07-13 17:08:29.940017,57,-79.2
22052d,-13,-46,446466585,2020-07-13 17:08:38.828399,4,-49.5
47b364,-26,-45,455140917,2020-07-13 17:08:39.693902,44,-53.1
369322,-31,-44,489419667,2020-07-13 17:08:43.121533,31,-83.7
9fbaf5,-41,-45,528623051,2020-07-13 17:08:47.042915,7,-55.8
22052d,-12,-44,579191450,2020-07-13 17:08:52.101056,10,-48.6
77bf1b,-41,-46,616855910,2020-07-13 17:08:55.864310,48,-90.9
