LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-6,-45,4265061,2020-07-13 16:50:59.250978,4,-45.9
22052d,14,-43,20843849,2020-07-13 16:51:00.901363,5,-43.2
22052d,9,-36,77406419,2020-07-13 16:51:06.552546,14,-47.7
47b364,-31,-45,98748771,2020-07-13 16:51:08.689195,51,-83.7
22052d,7,-46,138831366,2020-07-13 16:51:12.696123,44,-49.5
22052d,-7,-38,172298928,2020-07-13 16:51:16.042375,14,-45.9
b8a8b8,-36,-45,207298879,2020-07-13 16:51:19.544044,65,-87.3
22052d,-8,-45,287997555,2020-07-13 16:51:27.611362,19,-45.0
22052d,-2,-45,323460084,2020-07-13 16:51:31.158140,23,-48.6
369322,-29,-45,344024928,2020-07-13 16:51:33.214911,28,-81.9
8ababe,-28,-47,352831807,2020-07-13 16:51:34.097196,21,-81.0
22052d,12,-47,359640588,2020-07-13 16:51:34.777171,12,-45.0
22052d,-5,-46,404108235,2020-07-13 16:51:39.224216,9,-45.9
22052d,-3,-45,419047018,2020-07-13 16:51:40.717349,8,-58.5
22052d,-1,-45,438822549,2020-07-13 16:51:42.697246,28,-51.3
22052d,-6,-45,595619381,2020-07-13 16:51:58.374636,11,-61.2
