LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
adf439,-42,-46,72956833,2020-07-13 16:51:06.117537,57,-90.0
22052d,-8,-12,90115463,2020-07-13 16:51:07.833417,11,-63.0
22052d,-20,-47,139059188,2020-07-13 16:51:12.733177,44,-58.5
22052d,-11,-45,201768189,2020-07-13 16:51:19.001947,12,-57.6
99fe1a,-42,-46,258398775,2020-07-13 16:51:24.665079,21,-87.3
369322,-30,-44,297630119,2020-07-13 16:51:28.589590,29,-82.8
22052d,-2,-45,319525790,2020-07-13 16:51:30.779719,19,-57.6
22052d,-10,-45,324033006,2020-07-13 16:51:31.227600,8,-51.3
22052d,-7,-44,357630115,2020-07-13 16:51:34.588975,10,-53.1
0f013b,-41,-45,372219677,2020-07-13 16:51:36.046723,56,-78.3
47b364,-23,-34,536011538,2020-07-13 16:51:52.424773,62,-56.7
80d832,-42,-45,613986340,2020-07-13 16:52:00.224539,29,-91.8
