LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-9,-45,20831677,2020-07-13 16:51:00.896447,5,-49.5
22052d,2,-46,74002421,2020-07-13 16:51:06.204354,74,-54.0
22052d,-14,-34,77392458,2020-07-13 16:51:06.547751,14,-50.4
22052d,5,-45,145511300,2020-07-13 16:51:13.355026,3,-51.3
22052d,3,-35,172224037,2020-07-13 16:51:16.024918,14,-53.1
727ce6,-40,-44,255505988,2020-07-13 16:51:24.353222,34,-80.1
22052d,-13,-45,281829394,2020-07-13 16:51:26.985604,13,-52.2
0b670b,-41,-45,405743558,2020-07-13 16:51:39.376054,58,-81.0
22052d,-20,-46,419001604,2020-07-13 16:51:40.703561,8,-73.8
