LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
369322,-28,-45,18143983,2020-07-13 17:27:58.363812,18,-72.9
369322,-24,-46,99497505,2020-07-13 17:28:06.500501,36,-77.4
22052d,5,-41,102808790,2020-07-13 17:28:06.829255,8,-51.3
22052d,-5,-40,102840790,2020-07-13 17:28:06.834420,8,-51.3
22052d,-3,-45,123189382,2020-07-13 17:28:08.869028,28,-45.0
369322,-24,-46,157874069,2020-07-13 17:28:12.331553,47,-77.4
369322,-25,-45,166422180,2020-07-13 17:28:13.188314,40,-78.3
369322,-23,-34,172048732,2020-07-13 17:28:13.753075,14,-76.5
369322,-24,-46,178011069,2020-07-13 17:28:14.350208,20,-77.4
369322,-29,-46,189497372,2020-07-13 17:28:15.496332,47,-81.9
369322,-28,-44,225724300,2020-07-13 17:28:19.120993,36,-81.0
369322,-32,-46,232124374,2020-07-13 17:28:19.762750,74,-84.6
b8a8b8,-33,-45,234580800,2020-07-13 17:28:20.010508,29,-85.5
b8a8b8,-35,-45,260581006,2020-07-13 17:28:22.606402,55,-85.5
22052d,7,-45,271932867,2020-07-13 17:28:23.743290,3,-49.5
22052d,9,-41,275106561,2020-07-13 17:28:24.059162,22,-47.7
369322,-27,-45,291750745,2020-07-13 17:28:25.722678,23,-80.1
b8a8b8,-33,-45,310537114,2020-07-13 17:28:27.602942,26,-85.5
b8a8b8,-35,-47,325087099,2020-07-13 17:28:29.059339,72,-87.3
369322,-33,-46,373766155,2020-07-13 17:28:33.925622,26,-85.5
207ee3,-41,-47,380920693,2020-07-13 17:28:34.642135,49,-90.9
369322,-29,-46,388516097,2020-07-13 17:28:35.399764,25,-81.9
369322,-30,-46,455229725,2020-07-13 17:28:42.072947,76,-82.8
369322,-30,-46,501905065,2020-07-13 17:28:46.739748,75,-82.8
22052d,5,-35,534943423,2020-07-13 17:28:50.041898,45,-51.3
369322,-30,-46,553557678,2020-07-13 17:28:51.902786,16,-82.8
00a841,-31,-45,566691782,2020-07-13 17:28:53.218553,45,-83.7
369322,-30,-45,572345029,2020-07-13 17:28:53.785185,19,-82.8
22052d,4,-42,604417190,2020-07-13 17:28:56.991835,4,-52.2
cb4c7f,-28,-46,613128086,2020-07-13 17:28:57.861474,44,-55.8
b8a8b8,-31,-45,616960186,2020-07-13 17:28:58.243605,48,-83.7
369322,-28,-46,627698832,2020-07-13 17:28:59.318602,43,-81.0
