LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-11,-45,3527023,2020-07-13 17:05:24.163377,19,-65.7
22052d,17,-45,80219602,2020-07-13 17:05:31.829808,1,-40.5
22052d,17,-45,100370690,2020-07-13 17:05:33.848311,21,-40.5
22052d,18,-39,164033120,2020-07-13 17:05:40.217849,6,-39.6
47b364,-28,-43,165782428,2020-07-13 17:05:40.391744,55,-81.0
22052d,-15,-45,168161998,2020-07-13 17:05:40.632235,10,-40.5
22052d,-10,-45,186114324,2020-07-13 17:05:42.424490,28,-44.1
22052d,-8,-45,187573990,2020-07-13 17:05:42.571884,45,-41.4
8cec01,-42,-45,293929271,2020-07-13 17:05:53.206804,25,-90.9
369322,-32,-46,345643183,2020-07-13 17:05:58.378333,77,-81.9
22052d,17,-46,483601680,2020-07-13 17:06:12.174043,57,-40.5
22052d,17,-46,617248694,2020-07-13 17:06:25.535003,1,-40.5
901b48,-39,-43,632644982,2020-07-13 17:06:27.078256,32,-51.3
