LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,1,-38,10144300,2020-07-13 17:05:24.673438,10,-54.9
22052d,1,-45,92131713,2020-07-13 17:05:32.869954,13,-54.9
214ac6,-31,-45,96866169,2020-07-13 17:05:33.345209,2,-83.7
22052d,-22,-46,113774924,2020-07-13 17:05:35.036713,3,-54.0
e20787,-42,-45,130006698,2020-07-13 17:05:36.660966,51,-88.2
369322,-31,-45,193953061,2020-07-13 17:05:43.052728,4,-83.7
0b4607,-41,-45,288629072,2020-07-13 17:05:52.520129,4,-91.8
47b364,-27,-45,371292509,2020-07-13 17:06:00.785523,71,-80.1
22052d,-3,-44,408303401,2020-07-13 17:06:04.487157,13,-58.5
22052d,-21,-45,522573072,2020-07-13 17:06:15.913186,1,-58.5
