LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-1,-42,8238469,2020-07-13 17:02:39.615451,8,-56.7
22052d,3,-9,34813545,2020-07-13 17:02:42.275444,19,-53.1
47b364,-28,-44,135141258,2020-07-13 17:02:52.305204,40,-68.4
22052d,-1,-39,211787214,2020-07-13 17:02:59.970343,22,-56.7
22052d,-14,-45,218641189,2020-07-13 17:03:00.658098,13,-54.0
22052d,-18,-47,238280996,2020-07-13 17:03:02.616480,1,-54.9
47b364,-27,-45,278769551,2020-07-13 17:03:06.670360,73,-80.1
22052d,-16,-46,296854870,2020-07-13 17:03:08.478615,44,-56.7
22052d,-3,-11,309374214,2020-07-13 17:03:09.730495,9,-58.5
22052d,-2,-44,332372850,2020-07-13 17:03:12.025874,16,-57.6
22052d,1,-32,454597160,2020-07-13 17:03:24.251779,12,-54.9
22052d,-22,-43,454617116,2020-07-13 17:03:24.253861,12,-54.9
22052d,-18,-52,543439034,2020-07-13 17:03:33.135457,6,-54.0
22052d,-5,-44,545870819,2020-07-13 17:03:33.380176,40,-60.3
22052d,-12,-43,545890818,2020-07-13 17:03:33.382521,40,-60.3
22052d,-17,-40,583015165,2020-07-13 17:03:37.089684,14,-56.7
