LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-29,-43,734532,2020-07-13 17:02:38.693878,32,-49.5
b8a8b8,-29,-44,835758,2020-07-13 17:02:38.705257,64,-49.5
b8a8b8,-30,-45,16735572,2020-07-13 17:02:40.291635,48,-82.8
47b364,-20,-28,21839819,2020-07-13 17:02:40.804259,69,-73.8
22052d,-8,-45,30877718,2020-07-13 17:02:41.706383,15,-36.0
b8a8b8,-30,-44,35323677,2020-07-13 17:02:42.151637,51,-82.8
22052d,-30,-45,37546067,2020-07-13 17:02:42.379389,53,-82.8
b8a8b8,-30,-43,38324411,2020-07-13 17:02:42.458138,38,-82.8
b8a8b8,-31,-45,44099008,2020-07-13 17:02:43.031761,44,-78.3
b8a8b8,-26,-42,69698827,2020-07-13 17:02:45.589278,38,-79.2
b8a8b8,-30,-44,78899688,2020-07-13 17:02:46.507658,63,-82.8
b8a8b8,-29,-45,82738251,2020-07-13 17:02:46.897289,35,-54.9
b8a8b8,-30,-45,92725303,2020-07-13 17:02:47.892282,45,-82.8
8fca98,-40,-44,130376028,2020-07-13 17:02:51.659933,51,-91.8
b8a8b8,-28,-46,130998441,2020-07-13 17:02:51.723309,36,-81.0
b8a8b8,-25,-38,141350575,2020-07-13 17:02:52.753182,78,-78.3
b8a8b8,-28,-44,153925870,2020-07-13 17:02:54.013445,43,-81.0
b8a8b8,-26,-43,160699601,2020-07-13 17:02:54.691946,34,-45.9
b8a8b8,-28,-45,161076921,2020-07-13 17:02:54.732073,66,-81.0
3f3b5e,-41,-45,161827695,2020-07-13 17:02:54.808940,51,-91.8
b8a8b8,-28,-45,186299490,2020-07-13 17:02:57.251949,28,-66.6
b8a8b8,-29,-45,190100254,2020-07-13 17:02:57.629580,32,-81.9
b8a8b8,-28,-45,192338907,2020-07-13 17:02:57.860209,34,-45.9
b8a8b8,-28,-45,200701498,2020-07-13 17:02:58.693841,74,-81.0
b8a8b8,-30,-45,205224803,2020-07-13 17:02:59.140719,63,-82.8
b8a8b8,-31,-45,208101575,2020-07-13 17:02:59.435839,50,-83.7
b8a8b8,-30,-44,208325549,2020-07-13 17:02:59.457970,50,-82.8
b8a8b8,-28,-45,214951038,2020-07-13 17:03:00.117348,41,-55.8
22052d,-16,-45,217739901,2020-07-13 17:03:00.397468,28,-36.9
22052d,17,-53,218462365,2020-07-13 17:03:00.470843,13,-37.8
b8a8b8,-28,-45,219300500,2020-07-13 17:03:00.555995,77,-81.0
b8a8b8,-24,-35,219901650,2020-07-13 17:03:00.617358,30,-56.7
b8a8b8,-28,-45,233102317,2020-07-13 17:03:01.933614,59,-81.0
b8a8b8,-29,-46,233901080,2020-07-13 17:03:02.014474,44,-81.9
22052d,-13,-45,246512000,2020-07-13 17:03:03.271225,41,-56.7
b8a8b8,-28,-44,247362537,2020-07-13 17:03:03.358851,26,-81.0
b8a8b8,-26,-41,270303115,2020-07-13 17:03:05.651615,33,-79.2
b8a8b8,-19,-45,282328175,2020-07-13 17:03:06.855873,45,-72.9
47b364,-22,-44,288254678,2020-07-13 17:03:07.445009,51,-75.6
22052d,26,-45,300568633,2020-07-13 17:03:08.676254,16,-32.4
b8a8b8,-30,-45,310302702,2020-07-13 17:03:09.651883,73,-82.8
b8a8b8,-27,-46,318428104,2020-07-13 17:03:10.464012,34,-80.1
b8a8b8,-29,-45,320702412,2020-07-13 17:03:10.693594,36,-81.9
22052d,-4,-45,352862945,2020-07-13 17:03:13.909025,21,-36.0
86d870,-5,-45,360241851,2020-07-13 17:03:14.642407,44,-60.3
214ac6,-30,-45,365786517,2020-07-13 17:03:15.199918,18,-42.3
214ac6,-30,-45,372560277,2020-07-13 17:03:15.878538,9,-82.8
47b364,-17,-33,378254191,2020-07-13 17:03:16.447412,62,-71.1
b8a8b8,-27,-43,383703966,2020-07-13 17:03:16.990541,36,-49.5
22052d,-11,-45,389662463,2020-07-13 17:03:17.589039,42,-35.1
22052d,23,-44,391279500,2020-07-13 17:03:17.751544,12,-35.1
b8a8b8,-25,-36,394191568,2020-07-13 17:03:18.037299,78,-78.3
b8a8b8,-31,-44,430047834,2020-07-13 17:03:21.627434,35,-36.0
b8a8b8,-28,-45,430327841,2020-07-13 17:03:21.655437,35,-81.0
b8a8b8,-29,-44,440729526,2020-07-13 17:03:22.696939,77,-81.9
b8a8b8,-29,-45,443128641,2020-07-13 17:03:22.935943,32,-50.4
b8a8b8,-32,-44,444340575,2020-07-13 17:03:23.059441,49,-38.7
33cf64,-41,-45,462943217,2020-07-13 17:03:24.917696,52,-89.1
b8a8b8,-31,-45,468327395,2020-07-13 17:03:25.456327,73,-83.7
22052d,22,-44,482756068,2020-07-13 17:03:26.897707,40,-36.0
b8a8b8,-28,-44,487077600,2020-07-13 17:03:27.332586,76,-81.0
b8a8b8,-28,-44,489941732,2020-07-13 17:03:27.613711,63,-81.0
22052d,-13,-46,492859770,2020-07-13 17:03:27.911707,3,-37.8
b8a8b8,-30,-44,493930286,2020-07-13 17:03:28.017964,67,-78.3
b8a8b8,-33,-45,497233759,2020-07-13 17:03:28.348589,39,-81.0
b8a8b8,-25,-45,498741497,2020-07-13 17:03:28.498091,56,-76.5
47b364,-21,-45,514567375,2020-07-13 17:03:30.078224,72,-74.7
22052d,22,-44,515040665,2020-07-13 17:03:30.126346,25,-36.0
b8a8b8,-28,-45,533129323,2020-07-13 17:03:31.936103,43,-81.0
47b364,-28,-44,543060496,2020-07-13 17:03:32.930484,53,-72.9
9e1980,-31,-44,551202515,2020-07-13 17:03:33.744360,14,-81.9
22052d,-9,-45,553524338,2020-07-13 17:03:33.975368,16,-36.0
47b364,-24,-45,570666606,2020-07-13 17:03:35.690371,49,-77.4
b8a8b8,-29,-45,580431364,2020-07-13 17:03:36.666497,59,-43.2
b8a8b8,-26,-37,583717144,2020-07-13 17:03:36.991625,78,-63.9
b8a8b8,-26,-45,594029797,2020-07-13 17:03:38.026131,41,-79.2
b8a8b8,-28,-45,596705058,2020-07-13 17:03:38.294260,75,-52.2
b8a8b8,-28,-44,601355646,2020-07-13 17:03:38.756724,64,-81.0
22052d,-9,-43,610459874,2020-07-13 17:03:39.668404,10,-36.0
b8a8b8,-28,-45,613605767,2020-07-13 17:03:39.986517,29,-81.0
