LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
47b364,-27,-46,148356592,2020-07-13 16:57:49.461403,69,-80.1
22052d,-5,-45,206411083,2020-07-13 16:57:55.264435,1,-60.3
22052d,-12,-46,226948266,2020-07-13 16:57:57.319847,53,-62.1
22052d,-7,-45,233845802,2020-07-13 16:57:58.010951,44,-61.2
22052d,-13,-42,261107303,2020-07-13 16:58:00.733591,8,-67.5
22052d,-7,-45,273959652,2020-07-13 16:58:02.022600,5,-62.1
22052d,-9,-46,280858738,2020-07-13 16:58:02.710977,28,-63.9
22052d,-12,-38,359632933,2020-07-13 16:58:10.591527,12,-66.6
22052d,-8,-46,446692843,2020-07-13 16:58:19.297844,4,-63.0
4fc0a9,-31,-46,505647409,2020-07-13 16:58:25.187622,0,-83.7
4fc0a9,-33,-42,505871442,2020-07-13 16:58:25.213116,0,-85.5
22052d,-11,-45,578791416,2020-07-13 16:58:32.504282,57,-65.7
22052d,-9,-45,600091678,2020-07-13 16:58:34.633170,47,-58.5
4fc0a9,-29,-45,632096098,2020-07-13 16:58:37.836066,0,-81.9
4fc0a9,-28,-46,632320142,2020-07-13 16:58:37.860334,0,-78.3
