LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-8,-45,48669746,2020-07-13 16:57:39.510472,1,-63.0
47b364,-28,-44,151894909,2020-07-13 16:57:49.834945,41,-81.0
22052d,-9,-45,163793244,2020-07-13 16:57:51.024200,53,-63.9
fae982,-42,-48,215268751,2020-07-13 16:57:56.170123,73,-91.8
47b364,-33,-45,249008765,2020-07-13 16:57:59.545035,75,-85.5
0dfffe,-42,-45,293841249,2020-07-13 16:58:04.028455,25,-92.7
22052d,-2,-47,301023258,2020-07-13 16:58:04.744592,48,-57.6
c0d4f4,-26,-46,325147649,2020-07-13 16:58:07.160347,72,-79.2
b8a8b8,-31,-47,500377208,2020-07-13 16:58:24.681008,26,-56.7
22052d,-9,-46,631305195,2020-07-13 16:58:37.772752,15,-60.3
