LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-13,-45,31116765,2020-07-13 17:09:08.103349,15,-41.4
22052d,-12,-45,79479295,2020-07-13 17:09:12.938631,16,-38.7
c83f0b,-40,-46,99943530,2020-07-13 17:09:14.990019,68,-91.8
22052d,20,-45,155219328,2020-07-13 17:09:20.517547,13,-37.8
6a6ff0,-42,-45,248040074,2020-07-13 17:09:29.798601,11,-83.7
22052d,-9,-45,251013455,2020-07-13 17:09:30.097978,77,-40.5
22052d,-16,-39,339125231,2020-07-13 17:09:38.907927,7,-38.7
22052d,-8,-45,351822134,2020-07-13 17:09:40.176540,4,-37.8
22052d,-12,-37,393247202,2020-07-13 17:09:44.319317,14,-40.5
22052d,-9,-45,445710887,2020-07-13 17:09:49.567476,19,-38.7
22052d,-8,-45,454848044,2020-07-13 17:09:50.482737,44,-39.6
d1f065,-42,-46,477317695,2020-07-13 17:09:52.731013,19,-89.1
22052d,-11,-44,479495968,2020-07-13 17:09:52.950619,21,-37.8
22052d,22,-40,503166016,2020-07-13 17:09:55.314011,13,-36.0
22052d,-12,-41,575068560,2020-07-13 17:10:02.506050,6,-38.7
