LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
369322,-34,-45,21123320,2020-07-13 17:06:39.496485,5,-86.4
22052d,-20,-42,92216752,2020-07-13 17:06:46.604884,13,-53.1
22052d,-9,-46,178076545,2020-07-13 17:06:55.190900,20,-51.3
47b364,-25,-39,205584650,2020-07-13 17:06:57.939539,63,-78.3
e96f04,-40,-44,207446566,2020-07-13 17:06:58.130281,65,-83.7
22052d,-13,-45,237440982,2020-07-13 17:07:01.123675,16,-54.9
214ac6,-28,-43,261172168,2020-07-13 17:07:03.497171,8,-81.0
47b364,-29,-39,393962353,2020-07-13 17:07:16.776456,46,-81.9
22052d,-3,-37,440914312,2020-07-13 17:07:21.474589,30,-54.0
a9d20d,-26,-45,605730733,2020-07-13 17:07:37.954253,21,-79.2
47b364,-26,-44,626289854,2020-07-13 17:07:40.012508,73,-79.2
47b364,-24,-44,634764162,2020-07-13 17:07:40.861259,34,-77.4
