LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
2becd1,-41,-45,99976082,2020-07-13 17:06:47.128510,68,-91.8
c34fff,-41,-46,113192709,2020-07-13 17:06:48.450262,18,-91.8
000ec7,-41,-46,125645128,2020-07-13 17:06:49.692643,15,-81.9
22052d,-8,-45,143364385,2020-07-13 17:06:51.463674,1,-40.5
22052d,18,-45,216681955,2020-07-13 17:06:58.798699,11,-39.6
22052d,-10,-46,226425620,2020-07-13 17:06:59.774453,21,-39.6
22052d,18,-45,264105904,2020-07-13 17:07:03.542724,27,-39.6
9683a0,-38,-41,458711676,2020-07-13 17:07:22.998215,16,-88.2
369322,-33,-45,533252134,2020-07-13 17:07:30.453772,75,-71.1
a9d20d,-34,-45,533312099,2020-07-13 17:07:30.461160,75,-71.1
