LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,1,-45,18046622,2020-07-13 17:06:39.023670,18,-54.9
b8a8b8,-28,-45,107772035,2020-07-13 17:06:47.992963,76,-81.0
369322,-30,-46,128449639,2020-07-13 17:06:50.062601,2,-82.8
22052d,-8,-46,135677177,2020-07-13 17:06:50.783601,25,-63.0
fc38a1,-40,-43,142120546,2020-07-13 17:06:51.425476,63,-61.2
22052d,-8,-45,152444941,2020-07-13 17:06:52.462608,26,-63.0
4818b0,-41,-46,183941318,2020-07-13 17:06:55.612390,73,-91.8
b8a8b8,-32,-44,200072733,2020-07-13 17:06:57.225379,42,-84.6
b8a8b8,-31,-45,210897976,2020-07-13 17:06:58.306377,37,-79.2
22052d,-8,-45,230512105,2020-07-13 17:07:00.267641,25,-63.0
b8a8b8,-31,-45,246899289,2020-07-13 17:07:01.908146,73,-83.7
22052d,-15,-44,295652053,2020-07-13 17:07:06.780564,27,-67.5
b8a8b8,-26,-45,295772097,2020-07-13 17:07:06.792446,27,-67.5
22052d,-8,-46,296774763,2020-07-13 17:07:06.896296,12,-61.2
b8a8b8,-29,-45,310975328,2020-07-13 17:07:08.314426,58,-79.2
b8a8b8,-28,-43,390573291,2020-07-13 17:07:16.274334,27,-81.0
b8a8b8,-29,-45,390838664,2020-07-13 17:07:16.300083,59,-73.8
b8a8b8,-28,-39,401700260,2020-07-13 17:07:17.385219,54,-59.4
ed88b7,-42,-46,459812102,2020-07-13 17:07:23.196998,33,-83.7
22052d,-12,-48,486778838,2020-07-13 17:07:25.892765,44,-66.6
b8a8b8,-29,-44,487662358,2020-07-13 17:07:25.982500,61,-79.2
b8a8b8,-28,-41,565701866,2020-07-13 17:07:33.785166,60,-72.0
ad0721,-41,-44,610546289,2020-07-13 17:07:38.268935,10,-62.1
22052d,-24,-44,611874009,2020-07-13 17:07:38.404309,27,-63.0
b8a8b8,-28,-46,612115263,2020-07-13 17:07:38.429805,59,-77.4
b8a8b8,-29,-46,628101821,2020-07-13 17:07:40.024457,75,-81.9
b8a8b8,-10,-44,642414306,2020-07-13 17:07:41.454321,42,-64.8
b8a8b8,-24,-36,646915613,2020-07-13 17:07:41.901948,78,-77.4
369322,-31,-45,649105979,2020-07-13 17:07:42.126830,1,-83.7
