LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-34,-44,16537899,2020-07-13 17:06:39.007983,48,-86.4
22052d,11,-45,47743901,2020-07-13 17:06:42.127506,16,-45.9
47b364,-33,-45,72141939,2020-07-13 17:06:44.569534,72,-85.5
22052d,-5,-45,86038830,2020-07-13 17:06:45.958917,7,-45.0
5b5479,-30,-34,109076082,2020-07-13 17:06:48.262186,14,-80.1
0707e4,-41,-46,119203701,2020-07-13 17:06:49.276820,56,-87.3
22052d,14,-45,138467318,2020-07-13 17:06:51.202608,12,-43.2
b8a8b8,-29,-46,245151504,2020-07-13 17:07:01.871813,71,-81.9
47b364,-29,-46,253942831,2020-07-13 17:07:02.747575,64,-72.0
b8a8b8,-26,-47,282464128,2020-07-13 17:07:05.603238,77,-59.4
373ba8,-42,-46,296500731,2020-07-13 17:07:07.005357,12,-37.8
b8a8b8,-28,-44,324478572,2020-07-13 17:07:09.802756,40,-81.0
22052d,-3,-45,584106652,2020-07-13 17:07:35.762242,31,-43.2
84dd30,-40,-44,613934212,2020-07-13 17:07:38.750022,29,-89.1
