LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-15,-45,76082128,2020-07-13 17:22:51.279169,76,-69.3
22052d,-3,-45,224670270,2020-07-13 17:23:06.136239,19,-58.5
22052d,-3,-37,248007684,2020-07-13 17:23:08.470266,11,-58.5
22052d,-7,-45,278836306,2020-07-13 17:23:11.554136,26,-60.3
369322,-29,-45,292622906,2020-07-13 17:23:12.931261,8,-81.9
22052d,-5,-34,298438459,2020-07-13 17:23:13.515516,14,-58.5
22052d,-7,-45,300488435,2020-07-13 17:23:13.718144,16,-62.1
70a902,-28,-46,348840359,2020-07-13 17:23:18.552664,17,-81.0
22052d,-9,-40,357956244,2020-07-13 17:23:19.464556,10,-63.9
22052d,-11,-45,391961811,2020-07-13 17:23:22.866056,44,-60.3
22052d,-1,-44,398269046,2020-07-13 17:23:23.495808,3,-56.7
a0a155,-33,-38,425815165,2020-07-13 17:23:26.249946,78,-81.0
b8a8b8,-28,-45,460329419,2020-07-13 17:23:29.704337,65,-81.0
22052d,0,-13,481531236,2020-07-13 17:23:31.822472,23,-55.8
369322,-28,-44,509190505,2020-07-13 17:23:34.587484,19,-67.5
b8a8b8,-29,-45,523579032,2020-07-13 17:23:36.026738,65,-81.9
22052d,-5,-40,534729871,2020-07-13 17:23:37.142513,13,-60.3
22052d,-8,-36,559579751,2020-07-13 17:23:39.627760,22,-63.0
22052d,-3,-46,635560504,2020-07-13 17:23:47.226661,19,-58.5
22052d,-6,-20,649179578,2020-07-13 17:23:48.587543,1,-61.2
