LAP,pkt_type,status,channel,clkn_high,clk100ns,rssi_max,rssi_min,rssi_avg,rssi_count,timestamp,signal
d173cb,0,28,73,0,57447114,10,-49,0,41,2020-07-02 16:04:37.022745,-46.8
2a7f3f,0,28,6,0,69548074,15,-44,0,41,2020-07-02 16:04:38.235227,-42.3
d173cb,0,28,27,0,137645213,28,-58,0,40,2020-07-02 16:04:45.038620,-30.6
2a7f3f,0,28,63,0,142122875,13,-29,0,40,2020-07-02 16:04:45.482749,-44.1
b93dc3,0,28,43,0,153638631,-40,-45,0,40,2020-07-02 16:04:46.643504,-91.8
c4c0fc,0,28,43,0,153946666,-4,-40,0,41,2020-07-02 16:04:46.681500,-59.4
2a7f3f,0,28,64,0,159077816,28,-28,0,41,2020-07-02 16:04:47.186501,-30.6
2a7f3f,0,28,16,0,174332546,7,-45,0,40,2020-07-02 16:04:48.703683,-49.5
2a7f3f,0,28,54,0,180716052,9,-39,0,41,2020-07-02 16:04:49.349002,-47.7
2a7f3f,0,28,54,0,243947722,5,-41,0,41,2020-07-02 16:04:55.674768,-51.3
d173cb,0,28,26,0,278909315,15,-49,0,40,2020-07-02 16:04:59.171526,-42.3
ac0610,0,28,66,0,287227768,27,-44,0,41,2020-07-02 16:04:59.998403,-31.5
ac0610,0,28,66,0,287327785,28,-44,0,40,2020-07-02 16:05:00.015154,-30.6
2a7f3f,0,28,55,0,292270349,15,-43,0,40,2020-07-02 16:05:00.499653,-42.3
ac0610,0,28,48,0,300865149,23,-42,0,40,2020-07-02 16:05:01.357033,-35.1
ac0610,0,28,1,0,301218324,21,-44,0,41,2020-07-02 16:05:01.405781,-36.9
ac0610,0,28,52,0,305093551,-20,-44,0,40,2020-07-02 16:05:01.789675,-73.8
ac0610,0,28,7,0,307480943,23,-46,0,41,2020-07-02 16:05:02.026533,-35.1
ac0610,0,28,7,0,307580984,21,-43,0,41,2020-07-02 16:05:02.043034,-36.9
ac0610,0,28,71,0,308043445,-18,-44,0,41,2020-07-02 16:05:02.096783,-72.0
ac0610,0,28,58,0,310916100,27,-48,0,40,2020-07-02 16:05:02.368909,-31.5
ac0610,0,28,58,0,311016106,27,-53,0,40,2020-07-02 16:05:02.385161,-31.5
ac0610,0,28,58,0,311116128,27,-39,0,40,2020-07-02 16:05:02.401535,-31.5
ac0610,0,28,11,0,311265356,21,-48,0,41,2020-07-02 16:05:02.423592,-36.9
ac0610,0,28,11,0,311365335,21,-36,0,41,2020-07-02 16:05:02.439534,-36.9
ac0610,0,60,34,0,318402803,26,-42,0,41,2020-07-02 16:05:03.118660,-32.4
ac0610,0,28,34,0,318502766,25,-42,0,41,2020-07-02 16:05:03.135036,-33.3
ac0610,0,28,34,0,318602738,23,-43,0,41,2020-07-02 16:05:03.152412,-35.1
ac0610,0,28,34,0,318702715,24,-43,0,41,2020-07-02 16:05:03.168162,-34.2
ac0610,0,28,66,0,319156000,29,-41,0,40,2020-07-02 16:05:03.221160,-29.7
ac0610,0,28,72,0,324854632,-28,-44,0,40,2020-07-02 16:05:03.766287,-81.0
ac0610,0,28,46,0,330544000,26,-46,0,41,2020-07-02 16:05:04.320663,-32.4
ac0610,0,28,46,0,330644088,25,-47,0,40,2020-07-02 16:05:04.337164,-33.3
ac0610,0,28,46,0,330744042,26,-48,0,40,2020-07-02 16:05:04.353288,-32.4
2a7f3f,0,28,13,0,344921730,7,-44,0,41,2020-07-02 16:05:05.767541,-49.5
36c151,0,28,6,0,353632824,23,-49,0,41,2020-07-02 16:05:06.643418,-35.1
36c151,0,28,6,0,353732892,21,-49,0,40,2020-07-02 16:05:06.659045,-36.9
36c151,0,28,6,0,353832856,21,-47,0,40,2020-07-02 16:05:06.671429,-36.9
36c151,0,28,6,0,353932908,22,-46,0,41,2020-07-02 16:05:06.687045,-36.0
36c151,0,28,70,0,354695471,-27,-45,0,40,2020-07-02 16:05:06.765294,-80.1
36c151,0,28,54,0,370083059,17,-43,0,41,2020-07-02 16:05:08.284426,-40.5
36c151,0,28,54,0,370183022,15,-44,0,40,2020-07-02 16:05:08.299798,-42.3
36c151,0,28,54,0,370383044,17,-47,0,41,2020-07-02 16:05:08.321924,-40.5
36c151,0,28,58,0,374067506,19,-43,0,41,2020-07-02 16:05:08.683923,-38.7
36c151,0,28,58,0,374167476,21,-16,0,40,2020-07-02 16:05:08.699424,-36.9
2a7f3f,0,28,17,0,380571131,6,-47,0,41,2020-07-02 16:05:09.334425,-50.4
36c151,0,28,4,0,383231741,26,-52,0,40,2020-07-02 16:05:09.602301,-32.4
36c151,0,28,4,0,383331784,24,-49,0,41,2020-07-02 16:05:09.619182,-34.2
36c151,0,28,4,0,383431741,25,-47,0,40,2020-07-02 16:05:09.636177,-33.3
36c151,0,28,4,0,383531801,23,-52,0,41,2020-07-02 16:05:09.652551,-35.1
36c151,0,28,36,0,383909075,23,-47,0,40,2020-07-02 16:05:09.697435,-35.1
36c151,0,28,40,0,387965750,21,-44,0,40,2020-07-02 16:05:10.072183,-36.9
36c151,0,28,10,0,389442816,19,-50,0,41,2020-07-02 16:05:10.227931,-38.7
36c151,0,28,10,0,389542828,19,-49,0,41,2020-07-02 16:05:10.243303,-38.7
36c151,0,28,42,0,389915992,17,-50,0,40,2020-07-02 16:05:10.283427,-40.5
36c151,0,28,46,0,393820502,19,-43,0,40,2020-07-02 16:05:10.646634,-38.7
36c151,0,28,48,0,395778972,19,-44,0,41,2020-07-02 16:05:10.858804,-38.7
36c151,0,28,50,0,397829090,19,-47,0,41,2020-07-02 16:05:11.062304,-38.7
36c151,0,28,50,0,397929156,19,-45,0,41,2020-07-02 16:05:11.081432,-38.7
36c151,0,28,52,0,399683209,19,-47,0,41,2020-07-02 16:05:11.264304,-38.7
36c151,0,28,52,0,399783189,19,-46,0,40,2020-07-02 16:05:11.280307,-38.7
