LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-31,-45,13227418,2020-07-13 17:15:07.409450,29,-83.7
369322,-28,-45,27363691,2020-07-13 17:15:08.821839,43,-49.5
22052d,0,-45,29386266,2020-07-13 17:15:09.026967,45,-52.2
369322,-33,-45,41652766,2020-07-13 17:15:10.252481,10,-84.6
22052d,-17,-45,142766020,2020-07-13 17:15:20.357194,16,-53.1
b8a8b8,-29,-44,152552822,2020-07-13 17:15:21.343098,26,-81.9
0ff60d,-34,-37,166340719,2020-07-13 17:15:22.720219,8,-85.5
b8a8b8,-30,-45,234728610,2020-07-13 17:15:29.559286,29,-82.8
fee172,-37,-44,238889989,2020-07-13 17:15:29.977158,65,-81.0
22052d,-9,-42,243340426,2020-07-13 17:15:30.423050,22,-52.2
b8a8b8,-32,-45,295863196,2020-07-13 17:15:35.674961,27,-38.7
369322,-34,-46,310211745,2020-07-13 17:15:37.111133,73,-86.4
369322,-29,-45,365998191,2020-07-13 17:15:42.688776,18,-81.9
369322,-28,-45,587192616,2020-07-13 17:16:04.806098,18,-81.0
