LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-7,-42,29323332,2020-07-13 17:21:34.108847,45,-62.1
b8a8b8,-34,-44,35321852,2020-07-13 17:21:34.709461,51,-86.4
22052d,-7,-46,42452532,2020-07-13 17:21:35.425711,74,-62.1
b8a8b8,-29,-46,74234076,2020-07-13 17:21:38.601856,74,-81.9
22052d,-22,-40,85320792,2020-07-13 17:21:39.709354,22,-75.6
b39e14,-30,-45,99618484,2020-07-13 17:21:41.140739,68,-82.8
b8a8b8,-28,-45,105949418,2020-07-13 17:21:41.773867,74,-81.0
22052d,-8,-44,124522605,2020-07-13 17:21:43.632390,77,-63.0
e26387,-42,-46,161707424,2020-07-13 17:21:47.350144,51,-79.2
b8a8b8,-28,-45,198687095,2020-07-13 17:21:51.046155,72,-81.0
22052d,-8,-45,374656099,2020-07-13 17:22:08.644237,11,-63.0
96ee04,-41,-45,398779875,2020-07-13 17:22:11.053617,35,-84.6
b8a8b8,-26,-37,425812832,2020-07-13 17:22:13.757133,78,-78.3
b97491,-33,-45,436954908,2020-07-13 17:22:14.873015,26,-77.4
22052d,-2,-45,445626152,2020-07-13 17:22:15.740891,19,-57.6
22052d,-7,-40,452536247,2020-07-13 17:22:16.431275,10,-62.1
22052d,-5,-46,455304845,2020-07-13 17:22:16.710271,76,-41.4
ed832d,-11,-37,457298958,2020-07-13 17:22:16.908537,78,-65.7
b8a8b8,-30,-45,479177855,2020-07-13 17:22:19.095402,68,-82.8
b8a8b8,-28,-45,497776143,2020-07-13 17:22:20.951909,71,-81.0
22052d,-13,-46,512978946,2020-07-13 17:22:22.475669,23,-67.5
b8a8b8,-28,-46,581654565,2020-07-13 17:22:29.341696,76,-81.0
