LAP,pkt_type,status,channel,clkn_high,clk100ns,rssi_max,rssi_min,rssi_avg,rssi_count,timestamp,signal
2a7f3f,0,28,8,0,8346078,7,-45,0,41,2020-07-02 16:04:43.176167,-49.5
d173cb,0,60,50,0,18407246,2,-42,0,40,2020-07-02 16:04:44.170569,-54.0
2a7f3f,0,28,16,0,47833938,15,-42,0,41,2020-07-02 16:04:47.069797,-42.3
d173cb,0,28,48,0,48359069,14,-44,0,40,2020-07-02 16:04:47.135305,-43.2
4b7560,0,28,4,0,98921913,-11,-42,0,41,2020-07-02 16:04:52.191204,-65.7
d173cb,0,28,25,0,104069917,23,-48,0,40,2020-07-02 16:04:52.703583,-35.1
38e4be,0,28,39,0,118103130,-31,-43,0,40,2020-07-02 16:04:54.109714,-83.7
2a7f3f,0,28,68,0,131296263,8,-46,0,41,2020-07-02 16:04:55.427723,-48.6
2a7f3f,0,28,55,0,134096870,-1,-44,0,40,2020-07-02 16:04:55.706349,-56.7
d173cb,0,28,65,0,144031769,25,-30,0,40,2020-07-02 16:04:56.700980,-33.3
d173cb,0,28,42,0,168619586,15,-38,0,41,2020-07-02 16:04:59.159003,-42.3
2a7f3f,0,28,50,0,176427664,14,-46,0,40,2020-07-02 16:04:59.931499,-43.2
2a7f3f,0,28,15,0,252394196,8,-43,0,41,2020-07-02 16:05:07.535169,-48.6
d173cb,0,28,28,0,280979862,7,-42,0,41,2020-07-02 16:05:10.397061,-49.5
ac0610,0,28,34,0,286814633,17,-54,0,41,2020-07-02 16:05:10.982817,-40.5
ac0610,0,28,34,0,286914727,19,-54,0,41,2020-07-02 16:05:10.998692,-38.7
ac0610,0,28,70,0,291253205,22,-39,0,40,2020-07-02 16:05:11.422944,-36.0
ac0610,0,28,76,0,297504332,23,-45,0,41,2020-07-02 16:05:12.039696,-35.1
ac0610,0,28,48,0,301002847,18,-44,0,41,2020-07-02 16:05:12.390948,-39.6
ac0610,0,28,48,0,301102832,19,-44,0,41,2020-07-02 16:05:12.408204,-38.7
ac0610,0,28,1,0,301352058,17,-45,0,41,2020-07-02 16:05:12.440454,-40.5
ac0610,0,28,34,0,318663247,22,-41,0,41,2020-07-02 16:05:14.171344,-36.0
ac0610,0,28,34,0,318763316,23,-43,0,41,2020-07-02 16:05:14.187964,-35.1
ac0610,0,60,42,0,326412552,21,-40,0,40,2020-07-02 16:05:14.961220,-36.9
ac0610,0,28,42,0,326512570,23,-41,0,41,2020-07-02 16:05:14.977968,-35.1
