LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-12,-45,12018704,2020-07-13 16:58:52.677882,12,-44.1
47b364,-7,-39,15937760,2020-07-13 16:58:53.069012,63,-62.1
22052d,14,-46,41635121,2020-07-13 16:58:55.640140,10,-43.2
47b364,-26,-43,52925696,2020-07-13 16:58:56.770766,37,-79.2
369322,-30,-46,67257742,2020-07-13 16:58:58.201396,4,-51.3
214ac6,-17,-45,68781803,2020-07-13 16:58:58.356777,21,-71.1
22052d,-9,-31,71378487,2020-07-13 16:58:58.612774,8,-40.5
47b364,-27,-45,80512090,2020-07-13 16:58:59.526653,33,-60.3
369322,-30,-44,84022852,2020-07-13 16:58:59.879787,5,-82.8
369322,-30,-45,94820350,2020-07-13 16:59:00.957154,0,-82.8
214ac6,-20,-46,112381427,2020-07-13 16:59:02.716036,33,-73.8
22052d,-8,-46,198841490,2020-07-13 16:59:11.358681,25,-43.2
47b364,-28,-42,212126038,2020-07-13 16:59:12.688561,54,-81.0
22052d,15,-43,254810591,2020-07-13 16:59:16.955191,2,-42.3
e7d5cb,-41,-45,331216021,2020-07-13 16:59:24.595960,31,-74.7
214ac6,-9,-44,331580010,2020-07-13 16:59:24.633964,31,-63.9
4bf4e2,-40,-43,370233223,2020-07-13 16:59:28.499096,54,-90.9
22052d,-10,-45,384678001,2020-07-13 16:59:29.945720,21,-43.2
22052d,-8,-44,397565266,2020-07-13 16:59:31.234479,18,-43.2
22052d,-10,-45,431164036,2020-07-13 16:59:34.592998,20,-44.1
22052d,13,-44,524458013,2020-07-13 16:59:43.923522,3,-44.1
47b364,-28,-46,555804573,2020-07-13 16:59:47.058013,50,-81.0
22052d,-13,-45,587777273,2020-07-13 16:59:50.256645,3,-45.0
22052d,15,-45,603983243,2020-07-13 16:59:51.876774,19,-42.3
