LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-29,-45,3025453,2020-07-13 16:58:51.811504,66,-81.9
47b364,-22,-46,7869432,2020-07-13 16:58:52.295135,55,-75.6
b8a8b8,-29,-45,13426937,2020-07-13 16:58:52.854008,29,-78.3
369322,-30,-43,17575280,2020-07-13 16:58:53.266886,33,-79.2
22052d,-8,-45,24550234,2020-07-13 16:58:53.962019,56,-43.2
b8a8b8,-31,-45,27426437,2020-07-13 16:58:54.251884,43,-83.7
214ac6,-11,-45,32862955,2020-07-13 16:58:54.793269,17,-65.7
214ac6,-22,-45,33264396,2020-07-13 16:58:54.835905,49,-75.6
22052d,19,-46,41667406,2020-07-13 16:58:55.678392,10,-38.7
b8a8b8,-29,-46,51425054,2020-07-13 16:58:56.652421,67,-81.9
e990f7,-42,-45,60958228,2020-07-13 16:58:57.605526,45,-91.8
22052d,-4,-44,71410699,2020-07-13 16:58:58.649287,8,-59.4
b8a8b8,-30,-44,87828618,2020-07-13 16:59:00.291924,56,-58.5
b8a8b8,-27,-46,91026540,2020-07-13 16:59:00.614921,75,-80.1
b8a8b8,-29,-45,110627640,2020-07-13 16:59:02.570174,63,-81.9
369322,-29,-45,113654086,2020-07-13 16:59:02.879175,3,-81.9
b8a8b8,-28,-45,123427391,2020-07-13 16:59:03.852179,60,-81.0
b8a8b8,-35,-44,139434254,2020-07-13 16:59:05.456822,76,-87.3
b8a8b8,-30,-44,154629088,2020-07-13 16:59:06.973696,28,-82.8
b8a8b8,-29,-46,155026463,2020-07-13 16:59:07.014072,60,-81.9
8f3210,-32,-45,170627035,2020-07-13 16:59:08.572470,44,-75.6
22052d,-8,-45,170687011,2020-07-13 16:59:08.580298,44,-44.1
b8a8b8,-29,-45,190629188,2020-07-13 16:59:10.572089,64,-64.8
b8a8b8,-28,-46,200628289,2020-07-13 16:59:11.574596,74,-81.0
b8a8b8,-28,-46,205427379,2020-07-13 16:59:12.049966,63,-81.0
03f050,-41,-45,206117852,2020-07-13 16:59:12.122098,48,-90.9
b8a8b8,-28,-44,215828336,2020-07-13 16:59:13.094096,26,-81.0
b8a8b8,-28,-45,219427609,2020-07-13 16:59:13.455102,77,-80.1
b8a8b8,-33,-44,234229680,2020-07-13 16:59:14.934359,76,-85.5
22052d,17,-43,263167350,2020-07-13 16:59:17.830366,10,-40.5
369322,-33,-46,278456027,2020-07-13 16:59:19.358998,73,-85.5
214ac6,-17,-45,310464443,2020-07-13 16:59:22.560263,26,-71.1
b8a8b8,-30,-45,310628337,2020-07-13 16:59:22.576643,26,-71.1
b8a8b8,-28,-44,333893304,2020-07-13 16:59:24.903047,65,-81.0
b8a8b8,-30,-44,363031278,2020-07-13 16:59:27.812036,31,-82.8
b8a8b8,-28,-45,375390828,2020-07-13 16:59:29.053171,75,-81.0
47b364,-26,-46,406824124,2020-07-13 16:59:32.196687,75,-79.2
369322,-29,-45,408509158,2020-07-13 16:59:32.365431,45,-81.0
b8a8b8,-29,-44,413829371,2020-07-13 16:59:32.896190,66,-81.9
b8a8b8,-25,-37,425831120,2020-07-13 16:59:34.092819,78,-76.5
b8a8b8,-27,-44,428631613,2020-07-13 16:59:34.379067,65,-80.1
65580b,-37,-40,433080517,2020-07-13 16:59:34.823939,22,-81.9
47b364,-26,-44,455499100,2020-07-13 16:59:37.065455,76,-79.2
47b364,-26,-45,463724746,2020-07-13 16:59:37.887702,37,-79.2
b8a8b8,-7,-38,467829647,2020-07-13 16:59:38.298834,41,-52.2
b8a8b8,-29,-45,491829634,2020-07-13 16:59:40.697097,65,-81.9
b8a8b8,-28,-46,501832376,2020-07-13 16:59:41.698602,75,-81.0
b8a8b8,-29,-41,512637398,2020-07-13 16:59:42.777125,70,-81.9
b8a8b8,-29,-45,519430567,2020-07-13 16:59:43.457856,61,-81.9
b8a8b8,-29,-45,523430758,2020-07-13 16:59:43.858858,65,-81.9
47b364,-27,-45,524124985,2020-07-13 16:59:43.927731,50,-80.1
b8a8b8,-26,-45,533942937,2020-07-13 16:59:44.908508,28,-79.2
22052d,-8,-45,576420553,2020-07-13 16:59:49.155883,55,-42.3
3b0ffd,-42,-45,608386217,2020-07-13 16:59:52.352642,55,-80.1
