LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
369322,-30,-44,52739115,2020-07-13 17:26:45.260472,5,-82.8
22052d,-9,-42,134680460,2020-07-13 17:26:53.451614,8,-63.9
22052d,9,-44,193838062,2020-07-13 17:26:59.367629,4,-47.7
22052d,-7,-46,200917594,2020-07-13 17:27:00.075521,27,-62.1
214ac6,-30,-44,232270577,2020-07-13 17:27:03.212509,74,-82.8
94b7c8,-40,-46,307341912,2020-07-13 17:27:10.718033,7,-69.3
22052d,-14,-41,338118546,2020-07-13 17:27:13.796911,22,-63.9
22052d,5,-44,342950207,2020-07-13 17:27:14.281039,11,-51.3
214ac6,-31,-42,353867940,2020-07-13 17:27:15.371433,6,-83.7
22052d,7,-39,406034566,2020-07-13 17:27:20.588930,11,-49.5
22052d,6,-44,450687165,2020-07-13 17:27:25.050815,8,-50.4
4aa17a,-33,-35,489183044,2020-07-13 17:27:28.899824,78,-81.0
22052d,-21,-45,518255068,2020-07-13 17:27:31.809583,44,-48.6
22052d,1,-44,546447151,2020-07-13 17:27:34.629584,25,-54.9
214ac6,-33,-45,595063255,2020-07-13 17:27:39.492601,26,-85.5
