LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
05e809,-20,-22,79030295,2020-07-13 17:25:16.548758,63,-72.0
22052d,-10,-46,89315034,2020-07-13 17:25:17.581013,26,-61.2
22052d,-20,-44,120327627,2020-07-13 17:25:20.684518,41,-63.0
22052d,-9,-39,197733535,2020-07-13 17:25:28.422040,8,-63.9
c984b7,-41,-45,296364445,2020-07-13 17:25:38.289186,59,-90.0
22052d,2,-44,318162181,2020-07-13 17:25:40.467334,2,-53.1
22052d,-22,-44,376964640,2020-07-13 17:25:46.348083,45,-64.8
369322,-31,-45,429717796,2020-07-13 17:25:51.620970,3,-83.7
369322,-31,-45,476068574,2020-07-13 17:25:56.256604,2,-83.7
22052d,-5,-43,496804985,2020-07-13 17:25:58.331739,7,-60.3
22052d,-22,-46,496825027,2020-07-13 17:25:58.334582,7,-60.3
