LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-11,-43,29192037,2020-07-13 17:25:11.514387,13,-34.2
22052d,24,-44,59021972,2020-07-13 17:25:14.497778,43,-34.2
22052d,24,-40,136871932,2020-07-13 17:25:22.280697,42,-34.2
22052d,-16,-44,197751472,2020-07-13 17:25:28.368110,8,-35.1
369322,-30,-46,225514918,2020-07-13 17:25:31.146252,4,-82.8
22052d,-7,-38,318149212,2020-07-13 17:25:40.407187,2,-38.7
22052d,-8,-46,334946926,2020-07-13 17:25:42.090567,3,-36.0
22052d,-13,-46,351049434,2020-07-13 17:25:43.699329,19,-36.9
22052d,22,15,376917943,2020-07-13 17:25:46.289854,45,-36.0
9708fd,-40,-46,454256021,2020-07-13 17:25:54.019388,59,-80.1
9f3ed0,-42,-46,459190712,2020-07-13 17:25:54.514890,48,-80.1
22052d,22,-44,504962658,2020-07-13 17:25:59.091420,15,-36.0
22052d,23,-37,532602082,2020-07-13 17:26:01.854678,11,-35.1
22052d,23,-38,540439936,2020-07-13 17:26:02.644447,19,-35.1
22052d,23,-26,588976509,2020-07-13 17:26:07.493225,20,-35.1
369322,-31,-46,604516691,2020-07-13 17:26:09.045728,4,-45.9
22052d,-8,-45,641455467,2020-07-13 17:26:12.740750,25,-36.0
