LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-30,-45,68912413,2020-07-13 17:13:58.691838,53,-82.8
b8a8b8,-29,-45,74201068,2020-07-13 17:13:59.223593,74,-81.9
b8a8b8,-28,-44,121551710,2020-07-13 17:14:03.956365,58,-80.1
22052d,-8,-36,141020457,2020-07-13 17:14:05.900745,46,-46.8
b8a8b8,-23,-38,267789180,2020-07-13 17:14:18.577675,78,-76.5
22052d,-15,-44,280456349,2020-07-13 17:14:19.846428,75,-45.0
b8a8b8,-30,-46,295727193,2020-07-13 17:14:21.376687,27,-82.8
b8a8b8,-30,-46,348165460,2020-07-13 17:14:26.616082,32,-82.8
22052d,-7,-38,372680960,2020-07-13 17:14:29.068346,9,-44.1
22052d,15,-45,375999172,2020-07-13 17:14:29.402370,28,-42.3
22052d,17,-44,423050669,2020-07-13 17:14:34.106491,12,-40.5
b8a8b8,-24,-37,425691176,2020-07-13 17:14:34.370391,78,-76.5
22052d,16,-44,458712148,2020-07-13 17:14:37.669762,16,-41.4
860121,-41,-46,460425850,2020-07-13 17:14:37.846636,18,-90.0
b8a8b8,-30,-44,561955733,2020-07-13 17:14:47.996303,56,-82.8
b8a8b8,-31,-44,564444415,2020-07-13 17:14:48.249934,43,-83.7
