LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
fc4046,-42,-46,253198,2020-07-13 17:13:51.621023,0,-91.8
22052d,-5,-36,12319664,2020-07-13 17:13:52.831049,12,-60.3
22052d,-7,-46,27399195,2020-07-13 17:13:54.337913,43,-62.1
369322,-26,-38,61680618,2020-07-13 17:13:57.769572,30,-79.2
22052d,0,-45,63642934,2020-07-13 17:13:57.966077,32,-55.8
369322,-29,-46,68418014,2020-07-13 17:13:58.443830,21,-81.9
22052d,-9,-17,85088214,2020-07-13 17:14:00.110850,69,-63.9
22052d,-1,-45,103506857,2020-07-13 17:14:01.949990,40,-38.7
22052d,-6,-42,114794261,2020-07-13 17:14:03.081871,67,-61.2
369322,-28,-44,116905844,2020-07-13 17:14:03.292623,22,-81.0
22052d,-24,-45,183474141,2020-07-13 17:14:09.947559,41,-42.3
b8a8b8,-35,-45,185929625,2020-07-13 17:14:10.192064,75,-87.3
369322,-28,-44,189484662,2020-07-13 17:14:10.546314,47,-65.7
bce9bc,-36,-38,190267402,2020-07-13 17:14:10.624440,32,-79.2
b8a8b8,-33,-45,215987544,2020-07-13 17:14:13.200591,26,-85.5
369322,-31,-46,230658802,2020-07-13 17:14:14.665976,25,-83.7
22052d,-5,-45,237395986,2020-07-13 17:14:15.336986,16,-60.3
22052d,-8,-46,272904760,2020-07-13 17:14:18.891052,20,-58.5
369322,-32,-46,310086052,2020-07-13 17:14:22.608923,73,-79.2
22052d,2,-40,360076287,2020-07-13 17:14:27.606970,44,-54.0
369322,-30,-45,382750837,2020-07-13 17:14:29.876367,19,-82.8
22052d,0,-40,385275680,2020-07-13 17:14:30.130116,6,-55.8
8ababe,-28,-46,432509582,2020-07-13 17:14:34.851171,69,-81.0
22052d,-8,-46,453402928,2020-07-13 17:14:36.941680,74,-61.2
22052d,-2,-44,454714578,2020-07-13 17:14:37.074676,12,-54.9
369322,-25,-45,454875751,2020-07-13 17:14:37.092432,44,-54.9
369322,-32,-46,483552771,2020-07-13 17:14:39.957581,25,-84.6
8ababe,-30,-46,490434789,2020-07-13 17:14:40.640720,48,-82.8
22052d,-7,-45,507881064,2020-07-13 17:14:42.390109,2,-62.1
22052d,-10,-34,551588790,2020-07-13 17:14:46.758641,14,-58.5
f8ff0d,-42,-47,555103595,2020-07-13 17:14:47.112895,65,-76.5
369322,-29,-46,562877138,2020-07-13 17:14:47.889034,73,-81.9
707fc1,-41,-46,578600625,2020-07-13 17:14:49.460666,57,-80.1
22052d,-2,-46,584286636,2020-07-13 17:14:50.026671,31,-57.6
369322,-26,-43,591004116,2020-07-13 17:14:50.702679,22,-64.8
b8a8b8,-35,-46,602370548,2020-07-13 17:14:51.837063,49,-87.3
b8a8b8,-34,-45,620364211,2020-07-13 17:14:53.637961,67,-86.4
22052d,-9,-37,629592709,2020-07-13 17:14:54.556965,13,-63.9
