LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
369322,-34,-46,144502219,2020-07-13 17:29:23.710579,18,-86.4
b8a8b8,-33,-44,169272046,2020-07-13 17:29:26.187728,27,-85.5
952962,-34,-46,252887640,2020-07-13 17:29:34.547202,0,-79.2
952962,-33,-45,252987618,2020-07-13 17:29:34.558064,0,-79.2
952962,-32,-44,253187611,2020-07-13 17:29:34.577927,0,-79.2
952962,-35,-45,316022843,2020-07-13 17:29:40.862609,0,-69.3
952962,-36,-46,316386705,2020-07-13 17:29:40.900113,0,-84.6
952962,-29,-45,347885998,2020-07-13 17:29:44.047012,0,-73.8
952962,-31,-45,379247779,2020-07-13 17:29:47.183414,0,-83.7
952962,-31,-44,379547810,2020-07-13 17:29:47.214166,0,-81.0
952962,-31,-44,474199328,2020-07-13 17:29:56.679014,0,-75.6
214ac6,-22,-44,549500861,2020-07-13 17:30:04.210310,12,-75.6
214ac6,-33,-46,581973971,2020-07-13 17:30:07.456091,76,-85.5
22052d,17,-38,608650249,2020-07-13 17:30:10.134001,8,-40.5
952962,-31,-44,632224061,2020-07-13 17:30:12.489394,0,-73.8
214ac6,-31,-46,644607282,2020-07-13 17:30:13.727908,44,-73.8
