LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-31,-45,17246667,2020-07-13 17:29:11.035084,33,-81.9
b8a8b8,-28,-45,27671664,2020-07-13 17:29:12.079216,75,-81.0
b8a8b8,-29,-44,108484348,2020-07-13 17:29:20.158754,61,-77.4
22052d,12,-47,115179830,2020-07-13 17:29:20.832002,20,-45.0
b8a8b8,-31,-46,120697767,2020-07-13 17:29:21.384254,73,-83.7
b8a8b8,-28,-44,121348536,2020-07-13 17:29:21.450509,58,-81.0
b8a8b8,-29,-45,152847102,2020-07-13 17:29:24.597518,58,-81.9
b8a8b8,-28,-45,168949064,2020-07-13 17:29:26.210029,74,-81.0
1b87eb,-40,-44,213802766,2020-07-13 17:29:30.693797,24,-77.4
b8a8b8,-30,-46,244885038,2020-07-13 17:29:33.799433,71,-82.8
b8a8b8,-29,-46,260512848,2020-07-13 17:29:35.362817,55,-73.8
b8a8b8,-28,-45,279288042,2020-07-13 17:29:37.241073,58,-79.2
b8a8b8,-28,-46,281350278,2020-07-13 17:29:37.450577,60,-81.0
952962,-28,-45,284451362,2020-07-13 17:29:37.758577,0,-51.3
952962,-28,-44,284675404,2020-07-13 17:29:37.782333,0,-67.5
b8a8b8,-32,-45,289274212,2020-07-13 17:29:38.240702,68,-75.6
b8a8b8,-31,-45,295826030,2020-07-13 17:29:38.897202,27,-83.7
952962,-28,-44,316175346,2020-07-13 17:29:40.931341,0,-76.5
952962,-28,-45,316275383,2020-07-13 17:29:40.941972,0,-79.2
952962,-28,-45,316375389,2020-07-13 17:29:40.952221,0,-79.2
22052d,-5,-44,333047626,2020-07-13 17:29:42.617101,1,-51.3
b8a8b8,-31,-45,341787369,2020-07-13 17:29:43.493728,73,-76.5
b8a8b8,-28,-45,361213480,2020-07-13 17:29:45.433985,61,-63.9
b8a8b8,-28,-44,361449550,2020-07-13 17:29:45.457736,61,-77.4
b8a8b8,-31,-45,373751772,2020-07-13 17:29:46.689742,26,-83.7
952962,-31,-46,379561971,2020-07-13 17:29:47.266620,0,-81.0
b8a8b8,-26,-37,394388472,2020-07-13 17:29:48.747500,78,-79.2
b8a8b8,-32,-45,410476899,2020-07-13 17:29:50.359883,47,-84.6
952962,-28,-44,411050119,2020-07-13 17:29:50.419631,0,-80.1
22052d,-4,-47,414247975,2020-07-13 17:29:50.737506,19,-45.0
b8a8b8,-30,-44,416476020,2020-07-13 17:29:50.963890,53,-82.8
b8a8b8,-28,-44,426451925,2020-07-13 17:29:51.954636,63,-79.2
22052d,-14,-45,436832290,2020-07-13 17:29:52.997146,26,-44.1
952962,-28,-45,442473813,2020-07-13 17:29:53.555394,0,-81.0
952962,-29,-45,442713963,2020-07-13 17:29:53.579649,0,-60.3
b8a8b8,-31,-46,470577325,2020-07-13 17:29:56.367535,28,-82.8
952962,-31,-46,474200713,2020-07-13 17:29:56.731908,0,-83.7
1dc217,-40,-46,484004403,2020-07-13 17:29:57.715285,10,-82.8
214ac6,-31,-47,497176318,2020-07-13 17:29:59.030293,7,-81.9
b8a8b8,-31,-45,514602956,2020-07-13 17:30:00.773674,72,-83.7
952962,-26,-41,537425978,2020-07-13 17:30:03.055061,0,-77.4
b8a8b8,-29,-45,555152945,2020-07-13 17:30:04.837200,65,-81.9
b8a8b8,-33,-45,566488681,2020-07-13 17:30:05.976327,45,-56.7
b8a8b8,-30,-45,588564698,2020-07-13 17:30:08.178464,67,-59.4
22052d,-10,-45,596057780,2020-07-13 17:30:08.926851,43,-44.1
952962,-30,-44,600587308,2020-07-13 17:30:09.378962,0,-82.8
369322,-29,-45,613358973,2020-07-13 17:30:10.656350,76,-81.9
22052d,8,-46,621411968,2020-07-13 17:30:11.463976,5,-48.6
952962,-24,-41,632148966,2020-07-13 17:30:12.533607,0,-75.6
952962,-25,-45,632313049,2020-07-13 17:30:12.550857,0,-77.4
856a19,-40,-44,639083253,2020-07-13 17:30:13.227860,70,-90.0
