LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
5a48d9,-22,-46,16468741,2020-07-13 17:17:38.536694,48,-75.6
bde8de,-33,-37,32531652,2020-07-13 17:17:40.141187,64,-79.2
22052d,-14,-45,59220022,2020-07-13 17:17:42.807949,75,-38.7
52a934,-35,-38,85388422,2020-07-13 17:17:45.428962,22,-86.4
8ababe,-29,-46,115812703,2020-07-13 17:17:48.475107,5,-81.9
b8a8b8,-26,-45,124557102,2020-07-13 17:17:49.348983,77,-79.2
22052d,17,-45,149535830,2020-07-13 17:17:51.842619,7,-40.5
5a951d,-31,-35,156490473,2020-07-13 17:17:52.545241,30,-80.1
b8a8b8,-30,-44,159668336,2020-07-13 17:17:52.855117,49,-82.8
b8a8b8,-30,-45,191555413,2020-07-13 17:17:56.047774,49,-82.8
b8a8b8,-26,-38,212243372,2020-07-13 17:17:58.113641,54,-79.2
b8a8b8,-30,-38,243969708,2020-07-13 17:18:01.285535,54,-82.8
b8a8b8,-28,-43,292118471,2020-07-13 17:18:06.101171,55,-81.0
22052d,17,-44,305210691,2020-07-13 17:18:07.411801,5,-40.5
b8a8b8,-28,-40,340433860,2020-07-13 17:18:10.929818,56,-80.1
b8a8b8,-29,-43,356021486,2020-07-13 17:18:12.491073,40,-81.9
369322,-28,-44,372653528,2020-07-13 17:18:14.155331,9,-81.0
22052d,17,-44,419084643,2020-07-13 17:18:18.798979,8,-40.5
b8a8b8,-30,-45,424009323,2020-07-13 17:18:19.292104,29,-82.8
b8a8b8,-30,-46,484423033,2020-07-13 17:18:25.336136,42,-82.8
b8a8b8,-29,-45,535334142,2020-07-13 17:18:30.424415,77,-81.9
8ababe,-28,-44,545337491,2020-07-13 17:18:31.425032,8,-81.0
22052d,20,-45,565244242,2020-07-13 17:18:33.415778,28,-37.8
