LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-2,-45,68621806,2020-07-13 17:17:43.684609,21,-56.7
22052d,1,-45,149577862,2020-07-13 17:17:51.778059,7,-54.9
22052d,4,-45,193065971,2020-07-13 17:17:56.129607,19,-52.2
2bb6bd,-32,-35,267717740,2020-07-13 17:18:03.593047,78,-81.0
13a113,-28,-46,309071662,2020-07-13 17:18:07.727227,56,-42.3
369322,-26,-41,316555689,2020-07-13 17:18:08.476468,32,-79.2
b8a8b8,-35,-45,327286446,2020-07-13 17:18:09.551603,27,-53.1
22052d,-8,-46,541573680,2020-07-13 17:18:30.980795,4,-63.0
6f5886,-41,-46,541674918,2020-07-13 17:18:30.991810,36,-63.0
1fdc53,-42,-46,643553954,2020-07-13 17:18:41.178884,27,-87.3
