LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
47b364,-28,-46,73082,2020-07-13 14:43:37.835798,0,-39.6
369322,-28,-46,60456047,2020-07-13 14:43:44.100078,13,-81.0
22052d,5,-44,68036184,2020-07-13 14:43:44.859203,68,-51.3
22052d,5,-46,112436579,2020-07-13 14:43:49.300602,65,-51.3
369322,-24,-45,112893937,2020-07-13 14:43:49.347228,18,-72.0
22052d,9,-38,174034306,2020-07-13 14:43:55.456765,16,-47.7
22052d,5,-45,186749028,2020-07-13 14:43:56.733150,60,-51.3
369322,-26,-40,195809244,2020-07-13 14:43:57.635662,6,-79.2
369322,-29,-47,218871133,2020-07-13 14:43:59.944409,45,-81.9
369322,-26,-47,223810146,2020-07-13 14:44:00.437285,34,-79.2
b8a8b8,-30,-46,246618817,2020-07-13 14:44:02.721677,41,-80.1
369322,-28,-44,248673111,2020-07-13 14:44:02.929923,43,-81.0
369322,-26,-47,274321906,2020-07-13 14:44:05.488435,37,-51.3
b8a8b8,-35,-45,282253800,2020-07-13 14:44:06.283061,45,-87.3
22052d,33,-37,283245494,2020-07-13 14:44:06.383944,62,-10.909090909090908
b8a8b8,-28,-42,291029283,2020-07-13 14:44:07.161193,38,-49.5
369322,-27,-44,292670738,2020-07-13 14:44:07.326945,8,-56.7
22052d,3,-45,297245957,2020-07-13 14:44:07.778572,76,-53.1
22052d,5,-46,305085360,2020-07-13 14:44:08.567830,52,-51.3
369322,-24,-44,334184044,2020-07-13 14:44:11.475232,18,-77.4
369322,-26,-45,341160996,2020-07-13 14:44:12.174345,9,-78.3
369322,-24,-42,369959362,2020-07-13 14:44:15.052874,22,-77.4
369322,-26,-45,392573632,2020-07-13 14:44:17.314005,29,-79.2
369322,-28,-46,396396422,2020-07-13 14:44:17.694748,1,-81.0
22052d,-23,-47,419851636,2020-07-13 14:44:20.042764,72,-76.5
369322,-28,-46,423386710,2020-07-13 14:44:20.395885,44,-81.0
22052d,14,-46,431645198,2020-07-13 14:44:21.223016,5,-43.2
369322,-24,-45,436334253,2020-07-13 14:44:21.691660,41,-77.4
97eada,-42,-46,496832012,2020-07-13 14:44:27.739674,7,-87.3
369322,-28,-47,500337602,2020-07-13 14:44:28.094550,26,-81.0
369322,-26,-45,518899474,2020-07-13 14:44:29.946182,29,-79.2
47b364,-28,-44,562475744,2020-07-13 14:44:34.304456,41,-81.0
369322,-26,-44,581014929,2020-07-13 14:44:36.157714,12,-79.2
6c37a9,-26,-44,616057370,2020-07-13 14:44:39.659982,63,-79.2
1e5d3f,-28,-43,627472581,2020-07-13 14:44:40.806612,11,-80.1
6c37a9,-26,-43,628805664,2020-07-13 14:44:40.937614,60,-77.4
369322,-26,-46,635241153,2020-07-13 14:44:41.581756,19,-79.2
369322,-30,-45,673815573,2020-07-13 14:44:45.438762,10,-82.8
22052d,14,-42,686443088,2020-07-13 14:44:46.700657,7,-43.2
369322,-29,-45,690467276,2020-07-13 14:44:47.105397,11,-81.9
369322,-31,-46,730856919,2020-07-13 14:44:51.145666,4,-83.7
