LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
9b1bf3,-40,-44,18086506,2020-07-13 14:43:19.205115,18,-87.3
9752c8,-26,-34,30631251,2020-07-13 14:43:20.448371,62,-78.3
22052d,-1,-45,68159104,2020-07-13 14:43:24.202773,68,-56.7
22052d,3,-45,92960835,2020-07-13 14:43:26.682664,77,-53.1
22052d,8,-42,174158910,2020-07-13 14:43:34.798595,16,-48.6
c0e794,-31,-45,190895812,2020-07-13 14:43:36.477234,17,-83.7
22052d,7,-45,272956668,2020-07-13 14:43:44.681797,20,-49.5
22052d,-1,-46,287281656,2020-07-13 14:43:46.114900,66,-54.9
22052d,13,-45,301280814,2020-07-13 14:43:47.513408,1,-44.1
22052d,8,-48,313607549,2020-07-13 14:43:48.749042,45,-48.6
22052d,4,-45,340480805,2020-07-13 14:43:51.433559,56,-52.2
22052d,7,-44,359893314,2020-07-13 14:43:53.376578,12,-49.5
369322,-26,-44,403370587,2020-07-13 14:43:57.721220,24,-79.2
22052d,9,-45,459204956,2020-07-13 14:44:03.303380,1,-47.7
70f600,-40,-45,469419524,2020-07-13 14:44:04.328133,11,-89.1
22052d,3,-2,470936876,2020-07-13 14:44:04.484259,60,-53.1
369322,-31,-45,525898232,2020-07-13 14:44:09.976918,20,-83.7
f44042,-41,-44,582117470,2020-07-13 14:44:15.598459,29,-87.3
22052d,5,-46,616375208,2020-07-13 14:44:19.023477,63,-51.3
22052d,6,-33,641763655,2020-07-13 14:44:21.566611,57,-50.4
8bfa46,-33,-44,648576995,2020-07-13 14:44:22.242994,48,-85.5
22052d,14,-49,652938805,2020-07-13 14:44:22.683881,5,-43.2
6c37a9,-22,-45,655330281,2020-07-13 14:44:22.922996,39,-75.6
1e5d3f,-25,-43,658031220,2020-07-13 14:44:23.194622,26,-49.5
369322,-29,-46,676537082,2020-07-13 14:44:25.042631,76,-81.9
369322,-28,-45,676637113,2020-07-13 14:44:25.053914,76,-73.8
22052d,1,-37,686532296,2020-07-13 14:44:26.037780,7,-54.9
22052d,9,-45,807148212,2020-07-13 14:44:38.101463,1,-47.7
22052d,7,-44,826186045,2020-07-13 14:44:40.007847,36,-49.5
22052d,6,-44,864084575,2020-07-13 14:44:43.796373,74,-50.4
22052d,3,-44,878052393,2020-07-13 14:44:45.192132,9,-53.1
369322,-26,-38,899856490,2020-07-13 14:44:47.371647,78,-79.2
369322,-29,-45,908845118,2020-07-13 14:44:48.269274,24,-81.0
66138e,-41,-46,947854315,2020-07-13 14:44:52.170297,47,-91.8
bb88c5,-25,-42,1015551595,2020-07-13 14:44:58.943088,4,-78.3
369322,-28,-45,1050149250,2020-07-13 14:45:02.393105,23,-81.0
cfa474,-25,-38,1081299852,2020-07-13 14:45:05.509891,70,-78.3
cfa474,-28,-44,1082122171,2020-07-13 14:45:05.591129,55,-81.0
cfa474,-24,-46,1085512525,2020-07-13 14:45:05.930752,74,-71.1
3690d3,-41,-46,1134217819,2020-07-13 14:45:10.805155,28,-89.1
22052d,5,-44,1250403627,2020-07-13 14:45:22.420346,18,-51.3
22052d,7,-43,1295279817,2020-07-13 14:45:26.905372,47,-49.5
22052d,4,-45,1301264365,2020-07-13 14:45:27.507380,53,-52.2
22052d,2,-37,1307235159,2020-07-13 14:45:28.103508,59,-54.0
bb88c5,-31,-45,1396105311,2020-07-13 14:45:36.991562,53,-57.6
22052d,4,-45,1399664336,2020-07-13 14:45:37.346578,25,-52.2
22052d,5,-45,1430063952,2020-07-13 14:45:40.385583,8,-51.3
22052d,6,-45,1455033106,2020-07-13 14:45:42.884595,17,-50.4
369322,-29,-44,1514452594,2020-07-13 14:45:48.824379,45,-81.9
22052d,5,-44,1593230282,2020-07-13 14:45:56.704429,29,-51.3
22052d,6,-38,1602117541,2020-07-13 14:45:57.592816,22,-50.4
22052d,5,-32,1602903662,2020-07-13 14:45:57.671184,7,-51.3
22052d,7,-40,1602923654,2020-07-13 14:45:57.673732,7,-49.5
22052d,8,-44,1606828232,2020-07-13 14:45:58.063686,11,-48.6
22052d,7,-45,1628471977,2020-07-13 14:46:00.224076,1,-49.5
22052d,1,-37,1642123465,2020-07-13 14:46:01.591584,62,-52.2
22052d,8,-35,1657227586,2020-07-13 14:46:03.103861,14,-48.6
22052d,5,-41,1680904882,2020-07-13 14:46:05.471490,6,-51.3
22052d,1,-44,1687316722,2020-07-13 14:46:06.112609,44,-54.9
22052d,2,-45,1725715919,2020-07-13 14:46:09.952510,35,-54.0
22052d,4,-41,1730947647,2020-07-13 14:46:10.474888,56,-52.2
22052d,5,-45,1743239445,2020-07-13 14:46:11.706517,21,-51.3
22052d,3,-45,1772026493,2020-07-13 14:46:14.584311,34,-53.1
22052d,7,-44,1772046464,2020-07-13 14:46:14.586796,34,-49.5
22052d,-3,-45,1786026624,2020-07-13 14:46:15.979173,48,-58.5
22052d,0,-4,1798903411,2020-07-13 14:46:17.271429,45,-55.8
22052d,3,-44,1813270238,2020-07-13 14:46:18.708811,12,-49.5
22052d,3,-45,1830844147,2020-07-13 14:46:20.464202,77,-53.1
22052d,7,-45,1834944368,2020-07-13 14:46:20.877072,2,-49.5
22052d,8,-38,1885732982,2020-07-13 14:46:25.955236,37,-48.6
22052d,4,-45,1955299548,2020-07-13 14:46:32.911648,75,-52.2
5528ea,-31,-36,1974086057,2020-07-13 14:46:34.792783,78,-81.0
22052d,-1,-33,1989718450,2020-07-13 14:46:36.355794,62,-49.5
22052d,-11,-43,2026036784,2020-07-13 14:46:39.989961,51,-65.7
22052d,8,-46,2059666446,2020-07-13 14:46:43.352959,53,-48.6
22052d,10,-45,2072927496,2020-07-13 14:46:44.678467,3,-46.8
47b364,-31,-44,2175259146,2020-07-13 14:46:54.912902,58,-72.9
22052d,6,-49,2176526960,2020-07-13 14:46:55.042038,75,-50.4
bb88c5,-24,-45,2222759507,2020-07-13 14:46:59.662065,42,-77.4
22052d,-1,-44,2254893726,2020-07-13 14:47:02.875826,27,-56.7
c4dba3,-29,-44,2264862711,2020-07-13 14:47:03.871330,37,-81.0
22052d,8,-43,2266126470,2020-07-13 14:47:03.999964,54,-48.6
9e8b33,-31,-45,2314576607,2020-07-13 14:47:08.841367,55,-62.1
cbeee4,-34,-44,2316077514,2020-07-13 14:47:08.995113,25,-86.4
22052d,4,-33,2344491682,2020-07-13 14:47:11.834376,6,-52.2
bb88c5,-27,-44,2362547558,2020-07-13 14:47:13.639138,24,-76.5
22052d,5,-45,2380924452,2020-07-13 14:47:15.476653,74,-51.3
22052d,5,-45,2429271792,2020-07-13 14:47:20.311806,75,-51.3
369322,-30,-44,2444166731,2020-07-13 14:47:21.802436,74,-74.7
22052d,8,-46,2498334214,2020-07-13 14:47:27.220349,49,-48.6
420d57,-19,-36,2521242628,2020-07-13 14:47:29.510363,9,-72.9
c4dba3,-28,-45,2530129156,2020-07-13 14:47:30.399741,2,-81.0
22052d,4,-44,2534920741,2020-07-13 14:47:30.878123,70,-52.2
22052d,5,-45,2617056111,2020-07-13 14:47:39.092057,73,-51.3
22052d,7,-45,2628456375,2020-07-13 14:47:40.233818,53,-49.5
22052d,4,-44,2652706434,2020-07-13 14:47:42.658314,77,-52.2
369322,-29,-46,2652746506,2020-07-13 14:47:42.662849,77,-52.2
c4dba3,-23,-40,2661023538,2020-07-13 14:47:43.484570,38,-76.5
369322,-30,-45,2665334054,2020-07-13 14:47:43.919324,74,-82.8
