LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-28,-46,16520831,2020-07-13 14:43:58.573224,48,-81.0
47b364,-22,-45,22503578,2020-07-13 14:43:59.166600,54,-75.6
7c20cb,-31,-47,42754244,2020-07-13 14:44:01.193245,74,-82.8
22052d,18,-48,68092851,2020-07-13 14:44:03.726140,68,-39.6
22052d,18,-45,71555717,2020-07-13 14:44:04.072010,8,-39.6
22052d,16,-46,76809426,2020-07-13 14:44:04.595644,61,-36.9
b8a8b8,-28,-47,79985884,2020-07-13 14:44:04.911896,48,-81.0
b8a8b8,-28,-48,84484675,2020-07-13 14:44:05.364030,37,-81.0
22052d,17,-48,112459823,2020-07-13 14:44:08.162670,65,-40.5
369322,-29,-46,127799272,2020-07-13 14:44:09.695563,17,-81.9
22052d,19,-51,129292038,2020-07-13 14:44:09.846451,66,-38.7
b8a8b8,-27,-46,161886161,2020-07-13 14:44:13.105984,51,-68.4
b8a8b8,-34,-48,179646544,2020-07-13 14:44:14.881109,69,-86.4
22052d,18,-48,202089229,2020-07-13 14:44:17.125494,44,-39.6
22052d,13,-19,227260380,2020-07-13 14:44:19.642144,6,-44.1
b8a8b8,-31,-48,232347727,2020-07-13 14:44:20.153643,74,-83.7
b8a8b8,-28,-46,260785744,2020-07-13 14:44:22.994547,55,-81.0
369322,-28,-46,275613973,2020-07-13 14:44:24.476808,7,-81.0
b8a8b8,-30,-46,282310336,2020-07-13 14:44:25.147434,45,-82.8
22052d,19,-49,287214912,2020-07-13 14:44:25.637833,66,-37.8
b8a8b8,-29,-46,288337587,2020-07-13 14:44:25.752189,51,-81.9
b8a8b8,-26,-44,291086643,2020-07-13 14:44:26.025448,38,-79.2
22052d,17,-47,301215355,2020-07-13 14:44:27.036450,1,-40.5
22052d,18,-46,326413943,2020-07-13 14:44:29.558095,42,-39.6
22052d,18,-48,337989304,2020-07-13 14:44:30.716477,69,-39.6
369322,-29,-46,338390454,2020-07-13 14:44:30.758390,22,-81.9
369322,-26,-43,383503338,2020-07-13 14:44:35.263894,4,-79.2
369322,-28,-48,383952544,2020-07-13 14:44:35.309390,36,-32.4
47b364,-24,-46,389967503,2020-07-13 14:44:35.911773,42,-77.4
22052d,18,-49,397130326,2020-07-13 14:44:36.629399,65,-39.6
22052d,18,-47,419906552,2020-07-13 14:44:38.905414,72,-39.6
369322,-28,-45,429865826,2020-07-13 14:44:39.902801,3,-81.0
369322,-29,-47,446727502,2020-07-13 14:44:41.587067,4,-81.9
552ab0,-34,-36,456988591,2020-07-13 14:44:42.610700,46,-86.4
b8a8b8,-30,-48,476985862,2020-07-13 14:44:44.616467,66,-82.8
369322,-23,-47,482504773,2020-07-13 14:44:45.167093,40,-76.5
22052d,20,-48,521298521,2020-07-13 14:44:49.040869,63,-37.8
b8a8b8,-29,-46,532974658,2020-07-13 14:44:50.212259,43,-81.9
b8a8b8,-29,-47,546826263,2020-07-13 14:44:51.595767,57,-60.3
b8a8b8,-28,-46,579212186,2020-07-13 14:44:54.836293,42,-50.4
fe1a29,-44,-48,628073772,2020-07-13 14:44:59.720706,75,-73.8
6c37a9,-24,-46,654064223,2020-07-13 14:45:02.323101,22,-77.4
22052d,13,-48,717295883,2020-07-13 14:45:08.642906,22,-44.1
369322,-31,-47,721235981,2020-07-13 14:45:09.036906,26,-83.7
b8a8b8,-30,-48,738152673,2020-07-13 14:45:10.730669,27,-82.8
b8a8b8,-30,-48,756025438,2020-07-13 14:45:12.518181,45,-80.1
b8a8b8,-28,-47,802753487,2020-07-13 14:45:17.185472,44,-54.0
369322,-29,-46,806401766,2020-07-13 14:45:17.552480,48,-81.9
22052d,13,-48,806677753,2020-07-13 14:45:17.580597,48,-44.1
b8a8b8,-28,-46,813303016,2020-07-13 14:45:18.244482,39,-45.0
47b364,-29,-46,817757024,2020-07-13 14:45:18.694737,75,-55.8
369322,-28,-45,828013143,2020-07-13 14:45:19.721621,38,-81.0
369322,-24,-38,851852648,2020-07-13 14:45:22.101904,30,-77.4
22052d,18,-48,860094216,2020-07-13 14:45:22.923276,70,-39.6
22052d,18,-48,878018397,2020-07-13 14:45:24.717936,9,-39.6
784e35,-43,-47,905362797,2020-07-13 14:45:27.451806,52,-93.6
22052d,18,-48,914418646,2020-07-13 14:45:28.359437,77,-39.6
369322,-28,-47,942306217,2020-07-13 14:45:31.143209,73,-77.4
22052d,17,-46,958999759,2020-07-13 14:45:32.815721,74,-40.5
369322,-27,-38,962682442,2020-07-13 14:45:33.181991,46,-80.1
22052d,18,-46,975250851,2020-07-13 14:45:34.438737,43,-39.6
22052d,18,-49,990407081,2020-07-13 14:45:35.959499,74,-39.6
b8a8b8,-28,-47,1004929271,2020-07-13 14:45:37.406262,41,-81.0
22052d,18,-46,1004969247,2020-07-13 14:45:37.410549,41,-39.6
b8a8b8,-29,-48,1008977473,2020-07-13 14:45:37.814017,45,-81.9
369322,-27,-46,1029394551,2020-07-13 14:45:39.859904,18,-80.1
369322,-29,-48,1036919303,2020-07-13 14:45:40.607035,73,-81.9
369322,-23,-46,1044346564,2020-07-13 14:45:41.350792,17,-76.5
b8a8b8,-30,-46,1062178887,2020-07-13 14:45:43.134804,35,-82.8
369322,-26,-48,1066284557,2020-07-13 14:45:43.544815,39,-79.2
cfa474,-19,-44,1068560203,2020-07-13 14:45:43.775811,73,-72.9
47b364,-22,-46,1075369993,2020-07-13 14:45:44.450192,64,-75.6
cfa474,-26,-48,1085444900,2020-07-13 14:45:45.459948,74,-54.0
22052d,18,-42,1127216019,2020-07-13 14:45:49.640357,37,-39.6
369322,-29,-46,1128844929,2020-07-13 14:45:49.802610,7,-81.9
22052d,18,-50,1143278218,2020-07-13 14:45:51.245748,53,-39.6
22052d,-5,-46,1146448048,2020-07-13 14:45:51.564621,72,-60.3
b8a8b8,-32,-47,1148915956,2020-07-13 14:45:51.814019,27,-51.3
22052d,18,-37,1164802614,2020-07-13 14:45:53.398019,43,-39.6
22052d,1,-4,1174849116,2020-07-13 14:45:54.403771,53,-54.9
369322,-32,-47,1194423677,2020-07-13 14:45:56.358306,41,-68.4
8cdd02,-43,-46,1221909947,2020-07-13 14:45:59.110683,5,-85.5
b8a8b8,-28,-44,1228817280,2020-07-13 14:45:59.800685,28,-81.0
22052d,18,-47,1234253437,2020-07-13 14:46:00.343942,49,-39.6
369322,-26,-44,1245725408,2020-07-13 14:46:01.490953,29,-79.2
369322,-27,-40,1261373389,2020-07-13 14:46:03.055842,13,-80.1
47b364,-22,-46,1282771537,2020-07-13 14:46:05.195732,50,-75.6
b8a8b8,-30,-48,1308618348,2020-07-13 14:46:07.779879,76,-81.9
22052d,18,-50,1317265544,2020-07-13 14:46:08.645635,69,-39.6
369322,-26,-47,1321226383,2020-07-13 14:46:09.037765,73,-79.2
22052d,20,-47,1323213084,2020-07-13 14:46:09.239274,75,-37.8
369322,-31,-47,1336750801,2020-07-13 14:46:10.590927,25,-83.7
369322,-27,-47,1419777950,2020-07-13 14:46:18.895467,45,-80.1
b8a8b8,-28,-48,1426618875,2020-07-13 14:46:19.579722,36,-32.4
369322,-23,-36,1436427928,2020-07-13 14:46:20.560233,46,-76.5
22052d,15,-47,1455001887,2020-07-13 14:46:22.416995,17,-42.3
62c40d,-32,-48,1467587014,2020-07-13 14:46:23.678638,61,-74.7
22052d,-3,-6,1473258090,2020-07-13 14:46:24.243133,67,-58.5
c026eb,-43,-47,1477956744,2020-07-13 14:46:24.711142,24,-90.0
22052d,-1,-46,1503168512,2020-07-13 14:46:27.235034,65,-56.7
b8a8b8,-31,-47,1518782878,2020-07-13 14:46:28.795171,49,-83.7
369322,-24,-47,1560851998,2020-07-13 14:46:33.000577,44,-77.4
22052d,17,-43,1602860702,2020-07-13 14:46:37.202742,7,-40.5
22052d,-7,-48,1622442229,2020-07-13 14:46:39.159636,74,-62.1
22052d,19,-48,1622462212,2020-07-13 14:46:39.161825,74,-38.7
22052d,20,-48,1628409934,2020-07-13 14:46:39.755144,1,-37.8
22052d,20,-49,1642061788,2020-07-13 14:46:41.122534,62,-37.8
51cd76,-43,-48,1645463593,2020-07-13 14:46:41.466027,2,-92.7
c2090b,-44,-47,1648380279,2020-07-13 14:46:41.755033,68,-90.9
22052d,-5,-46,1682441249,2020-07-13 14:46:45.159183,55,-60.3
22052d,20,-51,1682461251,2020-07-13 14:46:45.161396,55,-37.8
22052d,18,-44,1688885661,2020-07-13 14:46:45.803188,14,-39.6
22052d,-12,-46,1716854682,2020-07-13 14:46:48.601210,42,-60.3
369322,-30,-46,1717331922,2020-07-13 14:46:48.650590,74,-46.8
b8a8b8,-31,-45,1719695182,2020-07-13 14:46:48.887717,29,-54.0
369322,-28,-47,1722731703,2020-07-13 14:46:49.187710,16,-81.0
22052d,19,-43,1730885911,2020-07-13 14:46:50.005599,56,-38.7
22052d,20,-45,1740408284,2020-07-13 14:46:50.957231,34,-37.8
369322,-28,-45,1750408723,2020-07-13 14:46:51.957359,44,-81.0
369322,-28,-46,1750644757,2020-07-13 14:46:51.982239,44,-81.0
369322,-28,-46,1811384110,2020-07-13 14:46:58.053664,10,-77.4
369322,-30,-46,1819497249,2020-07-13 14:46:58.867672,18,-82.8
b8a8b8,-30,-45,1827447274,2020-07-13 14:46:59.662924,26,-82.8
22052d,-8,-44,1866040279,2020-07-13 14:47:03.519079,49,-63.0
b8a8b8,-29,-46,1906536017,2020-07-13 14:47:07.569486,42,-81.9
b8a8b8,-30,-46,1955723003,2020-07-13 14:47:12.488275,28,-82.8
b8a8b8,-33,-48,1970999012,2020-07-13 14:47:14.016911,59,-85.5
22052d,17,-48,1981206884,2020-07-13 14:47:15.036047,22,-40.5
369322,-28,-46,2002299668,2020-07-13 14:47:17.146067,27,-81.0
22052d,-9,-13,2017238995,2020-07-13 14:47:18.637325,58,-54.0
22052d,16,-48,2072869628,2020-07-13 14:47:24.203120,3,-41.4
22052d,-3,-46,2076035068,2020-07-13 14:47:24.519121,22,-58.5
7c20cb,-33,-46,2101362791,2020-07-13 14:47:27.049914,63,-85.5
b8a8b8,-28,-47,2110197994,2020-07-13 14:47:27.937153,56,-81.0
b8a8b8,-28,-48,2119624589,2020-07-13 14:47:28.880406,34,-81.0
695a37,-40,-46,2119964604,2020-07-13 14:47:28.914661,34,-77.4
452ae0,-36,-46,2141577262,2020-07-13 14:47:31.074557,24,-81.0
22052d,-5,-38,2162436827,2020-07-13 14:47:33.155696,61,-60.3
369322,-28,-46,2190850953,2020-07-13 14:47:36.000968,42,-81.0
b8a8b8,-31,-46,2208874227,2020-07-13 14:47:37.802603,60,-45.9
22052d,20,-50,2235815258,2020-07-13 14:47:40.495375,71,-37.8
369322,-33,-46,2242837608,2020-07-13 14:47:41.198019,15,-79.2
22052d,-22,-46,2255790133,2020-07-13 14:47:42.495892,12,-75.6
369322,-15,-45,2272526196,2020-07-13 14:47:44.168904,13,-65.7
369322,-27,-40,2273661948,2020-07-13 14:47:44.283533,30,-57.6
b8a8b8,-29,-46,2307477483,2020-07-13 14:47:47.663184,32,-81.9
369322,-26,-46,2310338269,2020-07-13 14:47:47.953308,19,-66.6
9e8b33,-29,-46,2310856554,2020-07-13 14:47:48.007942,4,-81.9
22052d,3,-44,2327633467,2020-07-13 14:47:49.680203,5,-53.1
9ba337,-40,-46,2329350547,2020-07-13 14:47:49.853845,54,-81.0
22052d,19,-41,2344465390,2020-07-13 14:47:51.363595,6,-38.7
369322,-28,-48,2347915652,2020-07-13 14:47:51.709982,25,-81.0
369322,-30,-47,2348466094,2020-07-13 14:47:51.763739,10,-71.1
369322,-26,-45,2398190602,2020-07-13 14:47:56.736006,28,-46.8
b8a8b8,-26,-44,2398476106,2020-07-13 14:47:56.765136,60,-76.5
b8a8b8,-29,-46,2409337939,2020-07-13 14:47:57.854394,55,-81.9
47b364,-21,-42,2415277072,2020-07-13 14:47:58.445909,61,-74.7
22052d,-3,-46,2435332278,2020-07-13 14:48:00.451033,2,-40.5
b8a8b8,-28,-44,2439003416,2020-07-13 14:48:00.818790,53,-81.0
b8a8b8,-30,-46,2444653062,2020-07-13 14:48:01.384042,27,-82.8
