LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-9,-46,71452118,2020-07-13 17:20:27.245416,8,-61.2
369322,-31,-45,99130821,2020-07-13 17:20:30.014925,4,-83.7
22052d,-13,-44,123153492,2020-07-13 17:20:32.418437,28,-67.5
22052d,-22,-44,135821104,2020-07-13 17:20:33.682693,25,-75.6
22052d,0,-4,137310042,2020-07-13 17:20:33.834941,74,-55.8
b8a8b8,-27,-45,144383739,2020-07-13 17:20:34.540470,65,-80.1
22052d,-10,-44,153953527,2020-07-13 17:20:35.498079,43,-61.2
22052d,-5,-45,174832249,2020-07-13 17:20:37.580333,1,-60.3
22052d,-1,-49,178326098,2020-07-13 17:20:37.932476,20,-56.7
22052d,-8,-44,187708330,2020-07-13 17:20:38.872966,77,-63.0
22052d,-12,-45,196857096,2020-07-13 17:20:39.786599,23,-66.6
b8a8b8,-29,-46,202045940,2020-07-13 17:20:40.305347,44,-77.4
22052d,-10,-45,234383060,2020-07-13 17:20:43.541114,76,-64.8
214ac6,-29,-46,286494387,2020-07-13 17:20:48.751381,2,-80.1
22052d,-5,-45,303443103,2020-07-13 17:20:50.445518,3,-60.3
214ac6,-27,-43,322583120,2020-07-13 17:20:52.359897,38,-80.1
22052d,-1,-44,521841854,2020-07-13 17:21:12.281246,16,-56.7
b8a8b8,-28,-45,534313358,2020-07-13 17:21:13.534991,60,-51.3
22052d,-5,-42,538643306,2020-07-13 17:21:13.965867,17,-60.3
22052d,-3,-47,571158956,2020-07-13 17:21:17.217638,2,-58.5
b8a8b8,-25,-38,583851632,2020-07-13 17:21:18.482517,78,-65.7
22052d,-3,-31,614504890,2020-07-13 17:21:21.551901,14,-58.5
