LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-6,-46,11333150,2020-07-13 17:20:21.173293,27,-33.3
369322,-25,-42,22046708,2020-07-13 17:20:22.245672,22,-78.3
22052d,26,-46,43039492,2020-07-13 17:20:24.343571,27,-32.4
22052d,-28,-41,66553559,2020-07-13 17:20:26.697463,19,-81.0
22052d,-8,-45,71444748,2020-07-13 17:20:27.185473,8,-36.0
22052d,-8,-38,117734209,2020-07-13 17:20:31.811888,7,-33.3
22052d,24,-43,125764042,2020-07-13 17:20:32.616151,15,-34.2
cb4c7f,-31,-45,162207109,2020-07-13 17:20:36.261929,4,-80.1
22052d,-8,-45,196881727,2020-07-13 17:20:39.725961,23,-36.9
22052d,22,-46,219436396,2020-07-13 17:20:41.983249,77,-36.0
22052d,-7,-47,226743867,2020-07-13 17:20:42.714864,21,-36.9
22052d,-6,-42,243544568,2020-07-13 17:20:44.392376,22,-37.8
369322,-26,-44,244250944,2020-07-13 17:20:44.462754,7,-78.3
369322,-25,-35,267424910,2020-07-13 17:20:46.780280,46,-77.4
22052d,-6,-45,307581286,2020-07-13 17:20:50.794938,7,-36.0
22052d,23,-44,326025234,2020-07-13 17:20:52.643456,10,-35.1
22052d,-6,-45,408753236,2020-07-13 17:21:00.913784,45,-36.9
22052d,-9,-37,450755380,2020-07-13 17:21:05.114939,8,-36.9
cb4c7f,-29,-45,471802546,2020-07-13 17:21:07.219835,45,-60.3
22052d,-16,-45,525792046,2020-07-13 17:21:12.619383,20,-36.9
22052d,23,-46,544422802,2020-07-13 17:21:14.482524,23,-35.1
