LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-8,-44,5412769,2020-07-13 17:11:31.812307,21,-43.2
30346f,-41,-45,19793590,2020-07-13 17:11:33.252191,67,-90.9
22052d,10,-42,94277771,2020-07-13 17:11:40.696953,15,-46.8
22052d,13,-38,104880626,2020-07-13 17:11:41.758461,10,-44.1
22052d,3,-44,183090021,2020-07-13 17:11:49.580346,9,-53.1
22052d,10,-44,190927529,2020-07-13 17:11:50.361352,17,-46.8
22052d,-27,-46,206460762,2020-07-13 17:11:51.916604,1,-49.5
ea1e0f,-40,-44,367082195,2020-07-13 17:12:07.978639,35,-88.2
22052d,-12,-45,494108466,2020-07-13 17:12:20.680294,20,-49.5
22052d,5,-45,502851319,2020-07-13 17:12:21.556927,13,-51.3
c6bafe,-31,-43,533470034,2020-07-13 17:12:24.615931,75,-83.7
51700e,-41,-45,577143080,2020-07-13 17:12:28.983329,8,-81.9
