LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
270700,-42,-46,144946034,2020-07-13 17:11:45.742374,50,-88.2
369322,-24,-44,149897210,2020-07-13 17:11:46.238131,39,-77.4
22052d,-7,-45,183028063,2020-07-13 17:11:49.551181,9,-62.1
af640c,-31,-45,271598895,2020-07-13 17:11:58.410621,50,-83.7
47b364,-33,-45,331644173,2020-07-13 17:12:04.411063,63,-85.5
22052d,-2,-8,357003169,2020-07-13 17:12:06.948949,25,-57.6
22052d,-1,-44,376820188,2020-07-13 17:12:08.932087,45,-56.7
c6bafe,-25,-41,496790820,2020-07-13 17:12:20.926214,54,-37.8
22052d,-5,-44,515694687,2020-07-13 17:12:22.817963,10,-60.3
