LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,-10,-45,3844407,2020-07-13 16:56:11.234181,51,-61.2
22052d,2,-43,72557617,2020-07-13 16:56:18.106476,25,-54.0
22052d,0,-45,96617094,2020-07-13 16:56:20.514241,49,-55.8
22052d,-23,-42,111212641,2020-07-13 16:56:21.968499,48,-76.5
22052d,-11,-16,132519411,2020-07-13 16:56:24.101635,6,-65.7
f1a8cc,-42,-45,145692306,2020-07-13 16:56:25.418409,35,-91.8
22052d,-3,-34,203692044,2020-07-13 16:56:31.220805,14,-58.5
241780,1,-45,261539925,2020-07-13 16:56:37.002470,40,-54.9
22052d,-3,-35,298588681,2020-07-13 16:56:40.707875,14,-58.5
22052d,-18,-42,324008254,2020-07-13 16:56:43.248125,8,-54.0
22052d,-20,-41,328109017,2020-07-13 16:56:43.661253,12,-63.9
22052d,-13,-44,385058055,2020-07-13 16:56:49.356042,53,-62.1
9b1d98,-41,-45,443699065,2020-07-13 16:56:55.217965,17,-87.3
22052d,-6,-44,507312304,2020-07-13 16:57:01.582114,49,-61.2
22052d,-7,-46,514816694,2020-07-13 16:57:02.332116,25,-62.1
22052d,-9,-46,557365025,2020-07-13 16:57:06.586638,20,-63.9
