LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
b8a8b8,-31,-46,462401,2020-07-13 16:56:10.838442,32,-83.7
ce5fa5,-19,-48,2941931,2020-07-13 16:56:11.030049,66,-72.9
22052d,-3,-44,76599522,2020-07-13 16:56:18.393331,29,-58.5
b8a8b8,-30,-43,101737532,2020-07-13 16:56:20.905593,70,-82.8
22052d,-19,-45,111366411,2020-07-13 16:56:21.868102,48,-63.9
b8a8b8,-28,-44,114488458,2020-07-13 16:56:22.181353,67,-49.5
b8a8b8,-29,-46,183651105,2020-07-13 16:56:29.096397,73,-81.9
47b364,-22,-46,184773564,2020-07-13 16:56:29.209883,58,-75.6
22052d,-8,-44,187152623,2020-07-13 16:56:29.450882,13,-55.8
22052d,-7,-45,220914755,2020-07-13 16:56:32.822394,47,-60.3
c0e319,-41,-45,284753284,2020-07-13 16:56:39.207176,0,-91.8
b8a8b8,-30,-45,308052055,2020-07-13 16:56:41.539062,71,-57.6
b8a8b8,-28,-46,316891915,2020-07-13 16:56:42.420191,64,-81.0
22052d,-16,-46,319689009,2020-07-13 16:56:42.705947,51,-62.1
b8a8b8,-28,-45,331803334,2020-07-13 16:56:43.911197,63,-81.0
b8a8b8,-28,-46,343665168,2020-07-13 16:56:45.101202,75,-81.0
22052d,-7,-45,351408720,2020-07-13 16:56:45.872704,51,-62.1
47b364,-22,-43,372386869,2020-07-13 16:56:47.973590,56,-75.6
b8a8b8,-29,-46,384216214,2020-07-13 16:56:49.156595,68,-81.9
47b364,-27,-44,394787925,2020-07-13 16:56:50.210099,31,-80.1
b8a8b8,-28,-46,409129979,2020-07-13 16:56:51.646352,77,-78.3
369322,-33,-46,414833404,2020-07-13 16:56:52.218105,4,-85.5
c3c25b,-35,-44,421289600,2020-07-13 16:56:52.864362,42,-87.3
b8a8b8,-27,-44,456054192,2020-07-13 16:56:56.339379,61,-56.7
b8a8b8,-31,-45,457654799,2020-07-13 16:56:56.499750,31,-83.7
b8a8b8,-29,-43,512554885,2020-07-13 16:57:01.989153,70,-81.9
b8a8b8,-26,-45,518491290,2020-07-13 16:57:02.582901,76,-79.2
b8a8b8,-26,-46,519294008,2020-07-13 16:57:02.664155,61,-79.2
b8a8b8,-26,-46,533468983,2020-07-13 16:57:04.081663,75,-79.2
369322,-16,-42,549486246,2020-07-13 16:57:05.683163,12,-69.3
22052d,2,-35,551693440,2020-07-13 16:57:05.905542,46,-54.0
b8a8b8,-32,-44,552491838,2020-07-13 16:57:05.985310,31,-67.5
b8a8b8,-28,-45,613330155,2020-07-13 16:57:12.069822,76,-81.0
