LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,5,-45,37053672,2020-07-13 16:52:22.375351,21,-51.3
22052d,11,-44,67453315,2020-07-13 16:52:25.416466,4,-45.9
47b364,-26,-42,149860235,2020-07-13 16:52:33.655507,39,-79.2
47b364,-25,-37,165059352,2020-07-13 16:52:35.175385,70,-78.3
56c950,-35,-38,172414242,2020-07-13 16:52:35.910994,46,-86.4
22052d,4,0,174190984,2020-07-13 16:52:36.088747,16,-52.2
47b364,-28,-47,270160307,2020-07-13 16:52:45.684019,33,-81.0
22052d,-13,-46,326207943,2020-07-13 16:52:51.289411,10,-45.9
7611e1,-40,-45,388362979,2020-07-13 16:52:57.504044,72,-91.8
22052d,-20,-44,427157106,2020-07-13 16:53:01.381300,16,-49.5
22052d,13,-45,471398835,2020-07-13 16:53:05.808566,13,-44.1
22052d,-21,-45,471418829,2020-07-13 16:53:05.811195,13,-44.1
22052d,-2,-44,541210723,2020-07-13 16:53:12.790953,4,-57.6
47b364,-27,-44,550202590,2020-07-13 16:53:13.688331,76,-80.1
22052d,1,-42,566223968,2020-07-13 16:53:15.296209,13,-54.9
22052d,11,-44,626674898,2020-07-13 16:53:21.338095,26,-45.9
22052d,1,-43,654141257,2020-07-13 16:53:24.083979,22,-54.0
bf862e,-38,-44,669773873,2020-07-13 16:53:25.648994,6,-81.9
47b364,-24,-44,677242448,2020-07-13 16:53:26.391988,61,-77.4
